指数代码,指数名称,发布日期,收盘指数,成交量,涨跌幅,换手率,市盈率,市净率,均价,成交额占比,流通市值,平均流通市值,股息率
801995,电视广播Ⅱ,2026-08-04,1028.09,4.75,0.88,4.14,65.54,1.13,10.04,0.15,659.06,47.08,1.27
801086,电子化学品Ⅱ,2026-08-04,10534.6,8.99,7.05,8.69,89.27,5.83,51.95,1.83,3749.7,107.13,0.38
801092,汽车服务,2026-08-04,445.94,1.35,0.65,3.16,40.9,1.72,6.7,0.05,233.42,25.94,0.74
801093,汽车零部件,2026-08-04,7056.88,32.34,1.05,4.07,24.58,2.27,21.34,2.32,11330.03,46.82,1.35
801095,乘用车,2026-08-04,14768.27,5.19,-3.09,2.97,25.99,1.69,24.96,0.62,3713.12,464.14,0.7
801096,商用车,2026-08-04,7062.79,4.23,-1.92,3.29,23.15,2.55,11.64,0.27,1345.58,103.51,2.88
801101,计算机设备,2026-08-04,2933.48,12.29,2.44,4.32,39.69,3.66,26.43,1.68,6567.77,80.09,1.27
801102,通信设备,2026-08-04,9509.41,24.98,10.74,7.6,69.29,9.66,71.28,10.22,24597.5,289.38,0.3
801103,IT服务Ⅱ,2026-08-04,4858.24,34.83,3.68,5.9,115.61,3.42,22.21,2.9,7915.46,64.88,0.29
801104,软件开发,2026-08-04,5953.22,29.49,2.53,6.18,88.84,4.39,31.28,3.42,9307.35,71.6,0.47
801111,白色家电,2026-08-04,19530.94,2.29,-1.07,1.44,11.75,2.12,20.24,0.43,6699.11,609.01,5.03
801112,黑色家电,2026-08-04,1920.63,2.16,1.05,2.8,29.28,2.07,19.34,0.11,780.22,86.69,1.1
801113,小家电,2026-08-04,4064.56,1.07,-0.61,2.88,23.53,2.46,24.98,0.1,680.34,34.02,1.54
801114,厨卫电器,2026-08-04,7782.26,0.75,0.13,3.4,20.86,1.48,10.46,0.05,201.33,22.37,3.58
801115,照明设备Ⅱ,2026-08-04,4135.55,1.09,1.94,2.77,51.05,1.88,21.06,0.06,249.84,20.82,1.58
801116,家电零部件Ⅱ,2026-08-04,6439.64,3.47,2.12,3.79,37.88,3.44,18.22,0.34,1590.68,54.85,0.95
801117,其他家电Ⅱ,2026-08-04,529.51,0.21,0.26,1.88,43.02,1.22,8.89,0.01,60.65,20.22,1.46
801124,食品加工,2026-08-04,12627.47,4.6,-0.82,5.37,25.3,2.02,15.06,0.18,970.66,38.83,3.19
801125,白酒Ⅱ,2026-08-04,37469.21,2.19,-1.97,2.63,20.11,3.73,106.16,0.74,10026.39,527.7,4.41
801126,非白酒,2026-08-04,3497.3,1.38,-1.81,2.67,23.88,2.52,14.62,0.11,704.21,44.01,2.6
801127,饮料乳品,2026-08-04,7055.66,4.94,-1.66,3.81,17.65,2.91,17.89,0.42,2566.21,98.7,4.02
801128,休闲食品,2026-08-04,1637.77,1.83,-1.42,4.4,18.1,1.93,15.76,0.12,502.48,22.84,2.64
801129,调味发酵品Ⅱ,2026-08-04,6976.65,3.55,-0.45,4.67,28.0,3.45,16.57,0.24,1300.06,92.86,2.51
801131,纺织制造,2026-08-04,1702.53,4.43,0.41,4.54,22.43,1.59,12.59,0.23,740.77,23.15,2.57
801132,服装家纺,2026-08-04,1433.31,6.78,0.4,3.67,26.62,1.68,11.2,0.3,1245.83,21.12,2.79
