date,rank,stock_code,stock_name,close,return,amount_100m,sw_level1,sw_level2
2026-08-14,1,688825,长鑫科技,55.18,0.04349,198.6192021,电子,半导体
2026-08-14,2,603986,兆易创新,417.48,0.03209,196.98931498,电子,半导体
2026-08-14,3,600487,亨通光电,62.98,0.10009,191.96727611,通信,通信设备
2026-08-14,4,300308,中际旭创,943,0.02384,186.90993448,通信,通信设备
2026-08-14,5,300502,新易盛,448.08,0.04229,171.5153456,通信,通信设备
2026-08-14,6,300394,天孚通信,267.71,0.04103,137.34994212,通信,通信设备
2026-08-14,7,600522,中天科技,35.55,0.08055,132.80188653,通信,通信设备
2026-08-14,8,000938,紫光股份,39.95,0.00884,130.42122141,计算机,IT服务Ⅱ
2026-08-14,9,600176,中国巨石,44.39,0.05943,121.73014901,建筑材料,玻璃玻纤
2026-08-14,10,002384,东山精密,205.19,0.01524,114.1956809,电子,元件
2026-08-14,11,688256,寒武纪,1093,-0.01131,110.77385737,电子,半导体
2026-08-14,12,688981,中芯国际,132.87,0.0265,102.85931185,电子,半导体
2026-08-13,1,300308,中际旭创,921.04,0.00004,277.4504153,通信,通信设备
2026-08-13,2,688825,长鑫科技,52.88,-0.01196,253.86081354,电子,半导体
2026-08-13,3,603986,兆易创新,404.5,-0.02098,229.01029235,电子,半导体
2026-08-13,4,300502,新易盛,429.9,0.00397,194.4749838,通信,通信设备
2026-08-13,5,002384,东山精密,202.11,0.00959,172.77657206,电子,元件
2026-08-13,6,300394,天孚通信,257.16,0.07128,168.58879504,通信,通信设备
2026-08-13,7,000938,紫光股份,39.6,0.07027,164.60897925,计算机,IT服务Ⅱ
2026-08-13,8,688256,寒武纪,1105.5,0.00011,148.34774792,电子,半导体
2026-08-13,9,300476,胜宏科技,271.3,-0.02896,145.53510911,电子,元件
2026-08-13,10,000636,风华高科,62.02,-0.06751,133.38015459,电子,元件
2026-08-13,11,600487,亨通光电,57.25,-0.03457,128.46078955,通信,通信设备
2026-08-13,12,600183,生益科技,141.74,-0.0104,121.0009406,电子,元件
2026-08-13,13,603259,药明康德,162.33,0.02069,120.28294271,医药生物,医疗服务
2026-08-13,14,600667,太极实业,23.78,0.04712,120.16583505,建筑装饰,工程咨询服务Ⅱ
2026-08-13,15,600584,长电科技,77.82,-0.0046,119.80625234,电子,半导体
2026-08-13,16,000977,浪潮信息,79.46,0.05918,119.47134569,计算机,计算机设备
2026-08-13,17,300058,蓝色光标,15.25,-0.04028,117.45414275,传媒,广告营销
2026-08-13,18,601899,紫金矿业,32.21,-0.0408,108.56874191,有色金属,工业金属
