日期,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理,date,amount_100m,market_amount_100m,amount_share_of_a
2026-01-05,1512.2600000000,28480222.0000000000,60295035333.0000000000,0.0398000000,0.0189000000,东方财富创新药BK1106历史K线直连,1.0000000000,2026-01-05,602.9503533300,25346.2636693300,0.0237885300
2026-01-06,1520.1500000000,24886756.0000000000,48316351848.0000000000,0.0052000000,0.0165000000,东方财富创新药BK1106历史K线直连,0.9326649899,2026-01-06,483.1635184800,27926.6907592800,0.0173011376
2026-01-07,1538.1600000000,24606332.0000000000,54898420457.0000000000,0.0118000000,0.0163000000,东方财富创新药BK1106历史K线直连,0.9467213332,2026-01-07,548.9842045700,28422.2501593700,0.0193152970
2026-01-08,1553.8600000000,26564159.0000000000,53790772264.0000000000,0.0102000000,0.0176000000,东方财富创新药BK1106历史K线直连,1.0164454622,2026-01-08,537.9077226400,27874.3138473000,0.0192976130
2026-01-09,1592.7700000000,29986114.0000000000,62824549670.0000000000,0.0250000000,0.0199000000,东方财富创新药BK1106历史K线直连,1.1145300077,2026-01-09,628.2454967000,31061.8241908800,0.0202256472
2026-01-12,1597.2400000000,33157732.0000000000,67361524919.0000000000,0.0028000000,0.0220000000,东方财富创新药BK1106历史K线直连,1.1864553424,2026-01-12,673.6152491900,35839.6544211000,0.0187952496
2026-01-13,1622.9100000000,44109660.0000000000,93185016918.0000000000,0.0161000000,0.0293000000,东方财富创新药BK1106历史K线直连,1.4578884676,2026-01-13,931.8501691800,36351.1143943600,0.0256347071
2026-01-14,1622.8300000000,47663739.0000000000,92835235687.0000000000,0.0000000000,0.0317000000,东方财富创新药BK1106历史K线直连,1.4696588323,2026-01-14,928.3523568700,39255.9672311600,0.0236486940
2026-01-15,1596.4900000000,29826542.0000000000,56360140038.0000000000,-0.0162000000,0.0198000000,东方财富创新药BK1106历史K线直连,0.9279511632,2026-01-15,563.6014003800,28898.2939680700,0.0195029299
2026-01-16,1580.3700000000,27478294.0000000000,54330311929.0000000000,-0.0101000000,0.0182000000,东方财富创新药BK1106历史K线直连,0.8674811541,2026-01-16,543.3031192900,30120.7730228900,0.0180374892
2026-01-19,1580.1600000000,22313429.0000000000,47697889687.0000000000,-0.0001000000,0.0148000000,东方财富创新药BK1106历史K线直连,0.7238787347,2026-01-19,476.9788968700,26937.7465524300,0.0177067111
