日期,行业层级,一级行业代码,一级行业,指数代码,指数名称,收盘价,成交额,日收益率,20日年化波动率
2023-09-07,二级行业,801010,农林牧渔,801019,农业综合Ⅱ,1618.10000000,0.71843809,,
2023-09-07,二级行业,801010,农林牧渔,801011,林业Ⅱ,986.81000000,2.05990641,,
2023-09-07,二级行业,801200,商贸零售,801207,旅游零售Ⅱ,12923.83000000,11.72375703,,
2023-09-07,二级行业,801110,家用电器,801117,其他家电Ⅱ,609.29000000,0.91768922,,
2023-09-07,二级行业,801960,石油石化,801961,油气开采Ⅱ,1692.19000000,15.42475715,,
2023-09-07,二级行业,801210,社会服务,801216,体育Ⅱ,2095.45000000,3.27523490,,
2023-09-07,二级行业,801980,美容护理,801983,医疗美容,3029.21000000,6.83361748,,
2023-09-27,二级行业,801010,农林牧渔,801019,农业综合Ⅱ,1602.66000000,0.56641849,-0.00954206,
2023-09-27,二级行业,801010,农林牧渔,801011,林业Ⅱ,918.46000000,6.51973921,-0.06926359,
2023-09-27,二级行业,801200,商贸零售,801207,旅游零售Ⅱ,12602.61000000,13.85295164,-0.02485486,
2023-09-27,二级行业,801110,家用电器,801117,其他家电Ⅱ,623.93000000,2.76790928,0.02402797,
2023-09-27,二级行业,801960,石油石化,801961,油气开采Ⅱ,1739.61000000,11.07208569,0.02802286,
2023-09-27,二级行业,801210,社会服务,801216,体育Ⅱ,1919.62000000,1.75925244,-0.08391038,
2023-09-27,二级行业,801980,美容护理,801983,医疗美容,2698.23000000,7.08980838,-0.10926281,
2023-09-28,二级行业,801010,农林牧渔,801019,农业综合Ⅱ,1612.81000000,0.55714605,0.00633322,
2023-09-28,二级行业,801010,农林牧渔,801011,林业Ⅱ,917.33000000,4.38830799,-0.00123032,
2023-09-28,二级行业,801200,商贸零售,801207,旅游零售Ⅱ,12423.24000000,17.49292490,-0.01423277,
2023-09-28,二级行业,801110,家用电器,801117,其他家电Ⅱ,632.48000000,1.59739769,0.01370346,
2023-09-28,二级行业,801960,石油石化,801961,油气开采Ⅱ,1779.22000000,17.16593371,0.02276947,
2023-09-28,二级行业,801210,社会服务,801216,体育Ⅱ,1946.96000000,1.96396904,0.01424240,
2023-09-28,二级行业,801980,美容护理,801983,医疗美容,2664.90000000,8.61437100,-0.01235254,
2023-10-09,二级行业,801010,农林牧渔,801019,农业综合Ⅱ,1597.48000000,0.60312075,-0.00950515,
2023-10-09,二级行业,801010,农林牧渔,801011,林业Ⅱ,914.89000000,3.71903125,-0.00265989,
2023-10-09,二级行业,801200,商贸零售,801207,旅游零售Ⅱ,11770.25000000,26.64824968,-0.05256197,
2023-10-09,二级行业,801110,家用电器,801117,其他家电Ⅱ,617.76000000,1.45692459,-0.02327346,
2023-10-09,二级行业,801960,石油石化,801961,油气开采Ⅱ,1765.50000000,20.87703735,-0.00771124,
2023-10-09,二级行业,801210,社会服务,801216,体育Ⅱ,1898.68000000,2.04109904,-0.02479763,
2023-10-09,二级行业,801980,美容护理,801983,医疗美容,2691.54000000,7.87505452,0.00999662,
2023-10-10,二级行业,801010,农林牧渔,801019,农业综合Ⅱ,1595.21000000,0.63916751,-0.00142099,
2023-10-10,二级行业,801010,农林牧渔,801011,林业Ⅱ,912.67000000,3.19866994,-0.00242652,
2023-10-10,二级行业,801200,商贸零售,801207,旅游零售Ⅱ,11825.35000000,20.89652421,0.00468129,
2023-10-10,二级行业,801110,家用电器,801117,其他家电Ⅱ,618.10000000,1.39531820,0.00055038,
2023-10-10,二级行业,801960,石油石化,801961,油气开采Ⅱ,1721.36000000,14.87709832,-0.02500142,
