日期,行业层级,一级行业代码,一级行业,指数代码,指数名称,收盘价,成交额,日收益率,20日年化波动率
2026-08-21,一级行业,801170,交通运输,801170,交通运输,2072.80000000,227.57320000,0.00056477,0.14929501
2026-08-21,一级行业,801760,传媒,801760,传媒,664.90000000,263.71260000,-0.00778965,0.37050019
2026-08-21,一级行业,801160,公用事业,801160,公用事业,2420.53000000,271.60320000,-0.00473674,0.16907393
2026-08-21,一级行业,801010,农林牧渔,801010,农林牧渔,2449.68000000,249.01780000,-0.02582110,0.27994154
2026-08-21,一级行业,801150,医药生物,801150,医药生物,8018.11000000,1947.02040000,-0.03504271,0.34381447
2026-08-21,一级行业,801200,商贸零售,801200,商贸零售,1767.63000000,123.51230000,-0.00951468,0.26314384
2026-08-21,一级行业,801740,国防军工,801740,国防军工,1602.69000000,347.54010000,0.00960030,0.32161422
2026-08-21,一级行业,801030,基础化工,801030,基础化工,4332.46000000,968.48720000,0.00320937,0.27989661
2026-08-21,一级行业,801110,家用电器,801110,家用电器,8580.88000000,154.10440000,-0.00975716,0.15227004
2026-08-21,一级行业,801710,建筑材料,801710,建筑材料,5927.26000000,243.47750000,0.00106064,0.41884878
2026-08-21,一级行业,801720,建筑装饰,801720,建筑装饰,1938.32000000,226.95560000,-0.00352154,0.19990015
2026-08-21,一级行业,801180,房地产,801180,房地产,1866.97000000,144.92480000,-0.01104449,0.19788109
2026-08-21,一级行业,801050,有色金属,801050,有色金属,8599.14000000,1451.08550000,0.02716036,0.43476109
2026-08-21,一级行业,801890,机械设备,801890,机械设备,2219.92000000,1259.90090000,0.00649256,0.42335907
2026-08-21,一级行业,801880,汽车,801880,汽车,6413.87000000,402.59670000,0.00304171,0.25385993
2026-08-21,一级行业,801950,煤炭,801950,煤炭,3334.81000000,115.61720000,0.00496333,0.24783023
2026-08-21,一级行业,801970,环保,801970,环保,1916.55000000,124.06190000,0.00287800,0.24724609
2026-08-21,一级行业,801730,电力设备,801730,电力设备,9458.32000000,1358.61900000,0.01271580,0.32882204
2026-08-21,一级行业,801080,电子,801080,电子,8773.72000000,4855.13250000,0.01017693,0.63562990
2026-08-21,一级行业,801960,石油石化,801960,石油石化,2754.78000000,178.99640000,0.01365881,0.21710728
2026-08-21,一级行业,801210,社会服务,801210,社会服务,7204.32000000,91.07390000,-0.00508209,0.27859930
2026-08-21,一级行业,801130,纺织服饰,801130,纺织服饰,1525.39000000,103.71310000,-0.00027526,0.22775732
2026-08-21,一级行业,801230,综合,801230,综合,4304.27000000,34.30160000,-0.00266234,0.52141866
2026-08-21,一级行业,801980,美容护理,801980,美容护理,3385.08000000,33.21090000,-0.01831090,0.30915744
2026-08-21,一级行业,801750,计算机,801750,计算机,4381.71000000,807.44690000,0.00065771,0.37185278
2026-08-21,一级行业,801140,轻工制造,801140,轻工制造,2047.15000000,119.78910000,-0.00035647,0.23098927
2026-08-21,一级行业,801770,通信,801770,通信,7394.15000000,1744.73210000,0.02507743,0.78286875
2026-08-21,一级行业,801040,钢铁,801040,钢铁,2178.19000000,67.90950000,0.00028931,0.21173533
2026-08-21,一级行业,801780,银行,801780,银行,4036.97000000,229.46240000,-0.00301543,0.17765239
2026-08-21,一级行业,801790,非银金融,801790,非银金融,1721.22000000,305.82560000,0.00560285,0.14140034
2026-08-21,一级行业,801120,食品饮料,801120,食品饮料,13788.89000000,263.19570000,-0.01354041,0.20692270
2026-08-21,二级行业,801170,交通运输,801178,物流,4090.85000000,36.96420000,-0.00687517,0.17395181
2026-08-21,二级行业,801170,交通运输,801991,航空机场,2259.29000000,19.36870000,-0.01124299,0.18330993
2026-08-21,二级行业,801170,交通运输,801992,航运港口,3546.70000000,135.81320000,0.02359637,0.20869300
2026-08-21,二级行业,801170,交通运输,801179,铁路公路,1458.04000000,35.42710000,-0.01444495,0.14769997
2026-08-21,二级行业,801760,传媒,801769,出版,1370.58000000,22.53060000,-0.01127535,0.28068329
2026-08-21,二级行业,801760,传媒,801765,广告营销,2485.05000000,81.42400000,-0.00571751,0.48510856
2026-08-21,二级行业,801760,传媒,801766,影视院线,997.62000000,30.37010000,-0.00545315,0.43078609
2026-08-21,二级行业,801760,传媒,801767,数字媒体,1545.78000000,18.55580000,-0.00559673,0.38150428
2026-08-21,二级行业,801760,传媒,801764,游戏Ⅱ,2779.47000000,97.80350000,-0.01058661,0.40367858
2026-08-21,二级行业,801760,传媒,801995,电视广播Ⅱ,966.33000000,13.02860000,-0.00020693,0.26215996
2026-08-21,二级行业,801160,公用事业,801163,燃气Ⅱ,3136.01000000,40.00680000,0.00681266,0.25040488
2026-08-21,二级行业,801160,公用事业,801161,电力,3174.14000000,231.59640000,-0.00577589,0.16727685
2026-08-21,二级行业,801010,农林牧渔,801017,养殖业,2624.63000000,56.22550000,-0.01886658,0.28023909
2026-08-21,二级行业,801010,农林牧渔,801012,农产品加工,2207.57000000,64.23320000,-0.03581037,0.31555026
2026-08-21,二级行业,801010,农林牧渔,801018,动物保健Ⅱ,4397.93000000,7.97510000,-0.02963649,0.29659417
2026-08-21,二级行业,801010,农林牧渔,801015,渔业,704.55000000,4.93760000,-0.00561726,0.30931324
2026-08-21,二级行业,801010,农林牧渔,801016,种植业,2373.72000000,84.03400000,-0.04971756,0.48119714
2026-08-21,二级行业,801010,农林牧渔,801014,饲料,3516.62000000,24.39430000,-0.01937207,0.27329612
2026-08-21,二级行业,801150,医药生物,801155,中药Ⅱ,5550.84000000,153.31560000,-0.03441990,0.22734349
2026-08-21,二级行业,801150,医药生物,801151,化学制药,11751.88000000,680.61120000,-0.04382565,0.36130403
2026-08-21,二级行业,801150,医药生物,801153,医疗器械,5836.13000000,238.83910000,-0.01829801,0.27642372
2026-08-21,二级行业,801150,医药生物,801156,医疗服务,8612.95000000,456.42370000,-0.03728381,0.53438791
