code,name,price,change,change_5d,change_20d,change_60d,ytd,amount_yi,turnover,pe_ttm,pb,mcap_yi,data_status,source
801950,煤炭(申万),3262.28,-0.002870,-0.012227,0.014649,0.055877,0.185503,164.7794978,0.0174,20.5,1.56,21569.63938114,ok,我的自选-行情报价（行业指数）(1).xlsx
821001,能源,1799.82,0.0205,-0.0097,-0.0097,-0.0301,0.0747,353.73496666489996,0.0076,15.5,1.39,72489.74633664,stale,我的自选-行情报价（行业指数）(1).xlsx
518880,黄金ETF华安,9.08,0.001323,0.007881,0.072272,-0.045416,-0.023761,66.28732597,0.0674,0.0,0.0,0.0,ok,我的自选-行情报价（行业指数）(1).xlsx
802024,贵金属,26575.46,0.034822,-0.048078,0.304035,0.061559,0.107656,370.7019889121,0.032,17.08,4.24,14553.00360704,ok,我的自选-行情报价（行业指数）(1).xlsx
801960,石油石化(申万),2638.63,0.009932,-0.015069,0.028076,-0.045147,0.020060,146.80915308,0.0045,14.29,1144.32,49413.55244982,ok,我的自选-行情报价（行业指数）(1).xlsx
801741,航天装备Ⅱ(申万),26662.15,0.030903,-0.003982,0.122579,-0.231482,-0.243044,62.21923603,0.0197,402.75,6.65,3714.31924444,ok,我的自选-行情报价（行业指数）(1).xlsx
833024,小金属,2439.77,0.0132,0.0984,0.0984,-0.1288,0.1445,577.6026949804,0.037,29.96,4.36,14949.32233472,stale,我的自选-行情报价（行业指数）(1).xlsx
802046,半导体,10765.29,0.054643,0.060558,0.093302,0.012005,0.548885,2951.5122441832,0.0522,148.81,11.6,131952.42012672,ok,我的自选-行情报价（行业指数）(1).xlsx
801051,金属新材料(申万),9868.27,0.026824,0.036188,0.218519,-0.094291,0.019441,115.86078794,0.0357,70.63,165.26,3554.40396634,ok,我的自选-行情报价（行业指数）(1).xlsx
831010,化工,1604.87,0.0116,0.0319,0.0319,-0.0798,0.0288,1071.9877286666,0.017,29.98,1.6,42463.76899568,stale,我的自选-行情报价（行业指数）(1).xlsx
801080,电子(申万),9438.37,0.046096,0.056695,0.127005,-0.016051,0.440051,6610.47066454,0.0413,98.07,365.9,236047.34813731,ok,我的自选-行情报价（行业指数）(1).xlsx
861356,商业航天,1665.07,0.0107,0.0881,0.0881,-0.2232,-0.0829,1909.3026798888,0.0266,63.25,2.41,57324.81801216,stale,我的自选-行情报价（行业指数）(1).xlsx
801770,通信(申万),7812.24,0.041850,0.130727,0.072957,-0.038619,0.420015,1953.94118581,0.0227,31.76,549.3,72340.41234868,ok,我的自选-行情报价（行业指数）(1).xlsx
861520,微盘股,3294.0,0.009,0.0655,0.0655,-0.1549,-0.0028,162.4027522958,0.0238,-70.2,2.03,8136.33813632,stale,我的自选-行情报价（行业指数）(1).xlsx
821002,原材料,1758.72,0.0077,0.0587,0.0587,-0.1321,0.0087,4095.8817987643,0.0235,34.57,2.39,146799.28410896,stale,我的自选-行情报价（行业指数）(1).xlsx
801030,基础化工(申万),4437.04,0.023137,-0.006315,0.118815,-0.081699,0.014786,1045.548014,0.0227,36.02,56.9,45459.76079137,ok,我的自选-行情报价（行业指数）(1).xlsx
801130,纺织服饰(申万),1560.39,0.014314,0.000308,0.101760,-0.070222,-0.077855,105.2093967,0.0174,26.61,79.42,6083.95297916,ok,我的自选-行情报价（行业指数）(1).xlsx
801180,房地产(申万),1910.29,0.004670,0.006454,0.073589,-0.091100,-0.130536,133.77066422,0.0145,-4.8,28.16,9551.68553369,ok,我的自选-行情报价（行业指数）(1).xlsx
801050,有色金属(申万),8628.91,0.028597,-0.029117,0.196381,-0.041771,0.026202,1804.75300284,0.0345,21.66,58.28,56962.3451386,ok,我的自选-行情报价（行业指数）(1).xlsx
803079,稀土,17628.94,0.011642,-0.016074,0.208219,-0.249659,-0.172741,99.6247137323,0.0387,65.09,5.84,2750.6067456,ok,我的自选-行情报价（行业指数）(1).xlsx
801780,银行(申万),3934.42,-0.002049,-0.006572,-0.014900,0.015426,-0.059426,281.11824521,0.0029,6.87,0.58,150615.62279749,ok,我的自选-行情报价（行业指数）(1).xlsx
801890,机械设备(申万),2330.27,0.028908,0.033324,0.150677,-0.104586,0.083479,1550.35565215,0.0228,49.53,367.87,61403.7755345,ok,我的自选-行情报价（行业指数）(1).xlsx
H30269,红利低波,10794.96,0.0027,-0.0297,-0.0297,-0.0375,-0.0396,353.40741924,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
801740,国防军工(申万),1694.36,0.016620,-0.002214,0.117210,-0.145152,-0.144556,513.83990444,0.0204,80.62,900.79,29633.34624313,ok,我的自选-行情报价（行业指数）(1).xlsx
899050,北证50,1119.78,0.0003,0.0337,0.0337,-0.2215,-0.2226,168.40571298,0.0804,44.34,3.76,2811.13034496,stale,我的自选-行情报价（行业指数）(1).xlsx
803080,小金属,39763.98,0.026220,-0.005277,0.262331,-0.001595,0.308508,,,0.0,0.0,0.0,ok,我的自选-行情报价（行业指数）(1).xlsx
801010,22天津74,2451.10,0.013484,-0.017059,0.027004,-0.044309,-0.177814,,,,,,ok,我的自选-行情报价（行业指数）(1).xlsx
801720,建筑装饰(申万),1985.19,0.013835,0.011923,0.066710,-0.096643,-0.065784,290.30145585,0.0119,13.62,160.67,17168.98290028,ok,我的自选-行情报价（行业指数）(1).xlsx
801742,航空装备Ⅱ(申万),8515.38,0.013315,0.004869,0.103477,-0.168228,-0.209140,134.13761481,0.0149,70.65,2.97,9027.10601202,ok,我的自选-行情报价（行业指数）(1).xlsx
801020,建筑,3426.43,-0.009565,-0.019008,0.071107,-0.111624,,276.64956833310004,0.0118,12.62,0.61,16427.1706944,ok,我的自选-行情报价（行业指数）(1).xlsx
801125,白酒Ⅱ(申万),36422.13,-0.031828,-0.040053,-0.022091,-0.028720,-0.157500,118.79807741,0.0156,19.62,3.78,24668.40660226,ok,我的自选-行情报价（行业指数）(1).xlsx
801744,航海装备Ⅱ(申万),3135.58,0.010493,-0.024579,0.060077,-0.089973,0.058266,61.5735305,0.016,32.28,2.72,5366.16491523,ok,我的自选-行情报价（行业指数）(1).xlsx
801120,食品饮料(申万),14060.90,-0.018703,-0.029417,-0.002421,-0.031788,-0.132996,271.08828405,0.0167,21.18,140.18,38125.80361248,ok,我的自选-行情报价（行业指数）(1).xlsx
HSIDI,恒生创新药指数,2467.15,-0.0038,0.0081,0.0081,-0.1095,-0.0841,48.05595539,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
801110,家用电器(申万),8591.73,0.004012,-0.012423,0.021738,-0.065036,-0.067527,156.23445658,0.0121,18.09,1744.54,19580.83949413,ok,我的自选-行情报价（行业指数）(1).xlsx
930713,CS人工智,6340.74,-0.0049,0.0442,0.0442,-0.0955,0.2004,1794.21047668,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
801155,中药Ⅱ(申万),5752.75,0.000184,-0.006559,0.000548,0.014215,-0.077245,115.20844305,0.0177,27.04,223.13,7872.35888016,ok,我的自选-行情报价（行业指数）(1).xlsx
801750,计算机(申万),4651.89,0.009141,0.004578,0.096769,-0.098113,-0.107339,1602.85870354,0.0403,136.42,42.63,43358.39791196,ok,我的自选-行情报价（行业指数）(1).xlsx
801210,社会服务(申万),7369.60,0.015614,-0.003614,0.126401,-0.083317,-0.159146,116.73985284,0.0319,52.11,166.12,4688.55373795,ok,我的自选-行情报价（行业指数）(1).xlsx
801970,环保(申万),1964.40,0.010374,0.006533,0.123554,-0.102255,0.003013,172.13494304,0.0175,32.82,194.53,8331.19646522,ok,我的自选-行情报价（行业指数）(1).xlsx
801160,公用事业(申万),2473.73,-0.000327,-0.014827,-0.014431,-0.079977,0.022194,425.97545065,0.0131,20.37,206.62,42619.95668676,ok,我的自选-行情报价（行业指数）(1).xlsx
802023,基本金属,3442.77,0.031792,-0.044041,0.149775,-0.013558,-0.017693,603.3514946366,0.0298,17.31,2.69,23011.60104192,ok,我的自选-行情报价（行业指数）(1).xlsx
801200,商贸零售(申万),1809.45,0.014152,-0.011748,0.061709,-0.092352,-0.253093,145.93555658,0.0148,-78.16,339.33,9000.49487517,ok,我的自选-行情报价（行业指数）(1).xlsx
801171,港口Ⅱ(申万),3741.96,-0.007335,-0.007256,0.094758,-0.015100,,15.6414,0.0,0.0,0.0,0.0,ok,我的自选-行情报价（行业指数）(1).xlsx
801153,医疗器械(申万),5873.27,0.000528,0.005222,0.048515,-0.060253,-0.068158,189.29726426,0.0171,47.76,98.45,12518.70745211,ok,我的自选-行情报价（行业指数）(1).xlsx
801194,保险Ⅱ(申万),1147.16,0.004246,-0.025750,-0.039246,-0.027929,-0.238213,68.22419107,0.0026,6.96,1.2,28594.25796243,ok,我的自选-行情报价（行业指数）(1).xlsx
801980,美容护理(申万),3474.04,0.001831,-0.032783,0.025311,-0.067937,-0.206039,33.10115811,0.0158,34.55,2.41,2352.5103571,ok,我的自选-行情报价（行业指数）(1).xlsx
801790,非银金融(申万),1744.61,0.006479,-0.011676,-0.025532,0.014397,-0.150686,355.01501477,0.007,10.28,111.83,69267.579377,ok,我的自选-行情报价（行业指数）(1).xlsx
801150,医药生物(申万),8269.19,0.006755,0.011905,0.076830,0.073282,0.022831,1155.41660463,0.0209,45.62,55.62,65968.56076392,ok,我的自选-行情报价（行业指数）(1).xlsx
801880,汽车(申万),6617.58,0.015948,-0.001069,0.073227,-0.163359,-0.170407,567.63668757,0.0193,28.66,395.61,43041.15941707,ok,我的自选-行情报价（行业指数）(1).xlsx
801738,电网设备(申万),5722.64,0.028244,0.018077,0.136624,-0.168420,0.043502,408.87233841,0.0323,35.7,58.29,16289.52873834,ok,我的自选-行情报价（行业指数）(1).xlsx
802095,机器人,21486.15,0.027540,0.040387,0.156213,-0.144122,0.277556,75.03407073460001,0.0277,49.92,4.34,3490.79997312,ok,我的自选-行情报价（行业指数）(1).xlsx
801193,证券Ⅱ(申万),6193.96,0.007040,-0.006169,-0.025830,0.045878,-0.106596,237.67448061,0.0076,14.96,58.18,36034.78378882,ok,我的自选-行情报价（行业指数）(1).xlsx
000941,新能源,2252.02,-0.0157,0.0236,0.0236,-0.2498,-0.125,565.2565309,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
399808,中证新能,2547.36,-0.004953,0.016164,0.081897,-0.182787,-0.095073,960.8302242812,0.0137,34.79,2.53,59647.19504384,ok,我的自选-行情报价（行业指数）(1).xlsx
801730,电力设备(申万),9855.78,0.024273,0.028858,0.132555,-0.162047,-0.023042,1601.99365609,0.0257,51.27,17.93,77943.67996747,ok,我的自选-行情报价（行业指数）(1).xlsx
801760,传媒(申万),697.95,-0.008439,-0.023190,0.078665,-0.086752,-0.148520,582.64804929,0.0364,55.55,3757.7,14904.00274535,ok,我的自选-行情报价（行业指数）(1).xlsx
801071,电气设备,3846.35,-0.020046,0.038283,0.141343,0.141326,,162.9733,0.0,0.0,0.0,0.0,ok,我的自选-行情报价（行业指数）(1).xlsx
H30533,中国互联网50人民币,7435.34,-0.0227,0.0158,0.0158,-0.0418,-0.2362,218.893539395,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
931646,SHS新消费人民币,1466.36,-0.023,-0.0029,-0.0029,-0.0797,-0.2416,499.55019056699996,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
HSTECH,恒生科技指数,4745.22,-0.007698,-0.016416,-0.014457,-0.004966,-0.139732,500.22698541,0.0,0.0,0.0,0.0,ok,我的自选-行情报价（行业指数）(1).xlsx
931637,港股通互联网,778.78,-0.0243,0.0026,0.0026,-0.1008,-0.2535,258.586533889,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
