instrument_id,code,exchange,name,industry,pool,default_active,source
legacy:工商银行,,,工商银行,银行,核心股票池,1,核心股票池202608.xlsx
legacy:中国平安,,,中国平安,保险,核心股票池,1,核心股票池202608.xlsx
legacy:理想汽车-W,,,理想汽车-W,汽车[HK],核心股票池,1,核心股票池202608.xlsx
legacy:中信证券,,,中信证券,证券,核心股票池,1,核心股票池202608.xlsx
legacy:中国移动,,,中国移动,通信服务,核心股票池,1,核心股票池202608.xlsx
legacy:兴发集团,,,兴发集团,农化制品,核心股票池,1,核心股票池202608.xlsx
legacy:华友钴业,,,华友钴业,能源金属,核心股票池,1,核心股票池202608.xlsx
legacy:新华保险,,,新华保险,保险,核心股票池,1,核心股票池202608.xlsx
legacy:通威股份,,,通威股份,光伏设备,核心股票池,1,核心股票池202608.xlsx
legacy:TCL科技,,,TCL科技,光学光电子,核心股票池,1,核心股票池202608.xlsx
legacy:京东方Ａ,,,京东方Ａ,光学光电子,核心股票池,1,核心股票池202608.xlsx
legacy:海尔智家,,,海尔智家,白色家电,核心股票池,1,核心股票池202608.xlsx
legacy:恒力石化,,,恒力石化,石油加工贸易,核心股票池,1,核心股票池202608.xlsx
legacy:中国海油,,,中国海油,油气开采及服务,核心股票池,1,核心股票池202608.xlsx
legacy:圆通速递,,,圆通速递,物流,核心股票池,1,核心股票池202608.xlsx
legacy:中国人寿,,,中国人寿,保险,核心股票池,1,核心股票池202608.xlsx
legacy:阿里巴巴-W,,,阿里巴巴-W,多品类零售Ⅲ[HK],核心股票池,1,核心股票池202608.xlsx
legacy:赛轮轮胎,,,赛轮轮胎,汽车零部件,核心股票池,1,核心股票池202608.xlsx
legacy:东方电气,,,东方电气,其他电源设备,核心股票池,1,核心股票池202608.xlsx
legacy:三一重工,,,三一重工,工程机械,核心股票池,1,核心股票池202608.xlsx
legacy:万华化学,,,万华化学,化学制品,核心股票池,1,核心股票池202608.xlsx
legacy:大金重工,,,大金重工,风电设备,核心股票池,1,核心股票池202608.xlsx
legacy:中兴通讯,,,中兴通讯,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:小米集团-W,,,小米集团-W,消费电子[HK],核心股票池,1,核心股票池202608.xlsx
legacy:陕西煤业,,,陕西煤业,煤炭开采加工,核心股票池,1,核心股票池202608.xlsx
legacy:卫星化学,,,卫星化学,化学制品,核心股票池,1,核心股票池202608.xlsx
legacy:厦钨新能,,,厦钨新能,电池,核心股票池,1,核心股票池202608.xlsx
legacy:比音勒芬,,,比音勒芬,服装家纺,核心股票池,1,核心股票池202608.xlsx
legacy:牧原股份,,,牧原股份,养殖业,核心股票池,1,核心股票池202608.xlsx
legacy:云铝股份,,,云铝股份,工业金属,核心股票池,1,核心股票池202608.xlsx
legacy:湖南裕能,,,湖南裕能,电池,核心股票池,1,核心股票池202608.xlsx
legacy:潍柴动力,,,潍柴动力,汽车零部件,核心股票池,1,核心股票池202608.xlsx
legacy:兖矿能源,,,兖矿能源,煤炭开采加工,核心股票池,1,核心股票池202608.xlsx
legacy:美的集团,,,美的集团,白色家电,核心股票池,1,核心股票池202608.xlsx
legacy:安踏体育,,,安踏体育,纺织服饰[HK],核心股票池,1,核心股票池202608.xlsx
legacy:晶泰控股,,,晶泰控股,医疗服务[HK],核心股票池,1,核心股票池202608.xlsx
legacy:长江电力,,,长江电力,电力,核心股票池,1,核心股票池202608.xlsx
legacy:亚钾国际,,,亚钾国际,农化制品,核心股票池,1,核心股票池202608.xlsx
legacy:药明生物,,,药明生物,医疗服务[HK],核心股票池,1,核心股票池202608.xlsx
legacy:先导智能,,,先导智能,电池,核心股票池,1,核心股票池202608.xlsx
legacy:宝丰能源,,,宝丰能源,化学原料,核心股票池,1,核心股票池202608.xlsx
legacy:中芯国际,,,中芯国际,半导体[HK],核心股票池,1,核心股票池202608.xlsx
legacy:东方财富,,,东方财富,证券,核心股票池,1,核心股票池202608.xlsx
legacy:腾讯控股,,,腾讯控股,互动媒体与服务Ⅲ[HK],核心股票池,1,核心股票池202608.xlsx
legacy:天通股份,,,天通股份,电子化学品,核心股票池,1,核心股票池202608.xlsx
legacy:拓普集团,,,拓普集团,汽车零部件,核心股票池,1,核心股票池202608.xlsx
legacy:乖宝宠物,,,乖宝宠物,农产品加工,核心股票池,1,核心股票池202608.xlsx
legacy:立讯精密,,,立讯精密,消费电子,核心股票池,1,核心股票池202608.xlsx
legacy:九号公司-WD,,,九号公司-WD,汽车服务及其他,核心股票池,1,核心股票池202608.xlsx
legacy:安克创新,,,安克创新,消费电子,核心股票池,1,核心股票池202608.xlsx
legacy:天赐材料,,,天赐材料,电池,核心股票池,1,核心股票池202608.xlsx
legacy:西部矿业,,,西部矿业,工业金属,核心股票池,1,核心股票池202608.xlsx
legacy:亨通光电,,,亨通光电,通信设备,核心股票池,1,核心股票池202608.xlsx
legacy:宇通客车,,,宇通客车,汽车整车,核心股票池,1,核心股票池202608.xlsx
legacy:阳光电源,,,阳光电源,光伏设备,核心股票池,1,核心股票池202608.xlsx
legacy:东鹏饮料,,,东鹏饮料,饮料制造,核心股票池,1,核心股票池202608.xlsx
legacy:大族激光,,,大族激光,自动化设备,核心股票池,1,核心股票池202608.xlsx
legacy:紫金矿业,,,紫金矿业,贵金属,核心股票池,1,核心股票池202608.xlsx
legacy:长电科技,,,长电科技,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:宁德时代,,,宁德时代,电池,核心股票池,1,核心股票池202608.xlsx
legacy:伟测科技,,,伟测科技,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:洛阳钼业,,,洛阳钼业,工业金属,核心股票池,1,核心股票池202608.xlsx
legacy:厦门钨业,,,厦门钨业,小金属,核心股票池,1,核心股票池202608.xlsx
legacy:三花智控,,,三花智控,白色家电,核心股票池,1,核心股票池202608.xlsx
legacy:中国巨石,,,中国巨石,建筑材料,核心股票池,1,核心股票池202608.xlsx
legacy:药明康德,,,药明康德,医疗服务,核心股票池,1,核心股票池202608.xlsx
legacy:扬杰科技,,,扬杰科技,半导体,核心股票池,1,核心股票池202608.xlsx
legacy:风华高科,,,风华高科,元件,核心股票池,1,核心股票池202608.xlsx
legacy:优必选,,,优必选,机械设备Ⅲ[HK],核心股票池,1,核心股票池202608.xlsx
legacy:巨化股份,,,巨化股份,化学制品,核心股票池,1,核心股票池202608.xlsx
legacy:赤峰黄金,,,赤峰黄金,贵金属,核心股票池,1,核心股票池202608.xlsx
legacy:爱旭股份,,,爱旭股份,光伏设备,核心股票池,1,核心股票池202608.xlsx
legacy:大中矿业,,,大中矿业,钢铁,核心股票池,1,核心股票池202608.xlsx
