instrument_id,code,exchange,name,industry,price,change,change_5d,change_20d,ytd,amount_yi,mcap_yi,turnover,pe_ttm,pb,data_status
600519,600519,SSE,贵州茅台,白酒,1307.88,0.007600,-0.026200,0.002207,-0.030594,48.77,16349.57,0.003000,18.36,6.51,ok
legacy:工商银行,601398,SH,工商银行,银行,7.80,0.016900,0.037200,0.026316,0.005025,35.95,27799.69,0.001700,7.99,0.72,ok
legacy:中国平安,601318,SH,中国平安,保险,52.08,0.014800,-0.009900,-0.034662,-0.218605,40.87,9430.46,0.007400,9.42,0.96,ok
legacy:理想汽车-W,02015,HK,理想汽车-W,汽车[HK],48.04,0.003300,-0.027500,0.008396,-0.259214,2.61,996.08,0.003200,-48.52,1.31,ok
legacy:中信证券,600030,SH,中信证券,证券,27.15,-0.008800,-0.019900,-0.040636,-0.030703,26.82,4241.99,0.008100,10.38,1.49,ok
legacy:中国移动,600941,SH,中国移动,通信服务,97.17,0.014900,0.009900,0.032735,-0.016986,11.86,21073.47,0.013600,13.35,1.48,ok
legacy:兴发集团,600141,SH,兴发集团,农化制品,31.43,-0.061500,-0.014100,0.090184,-0.077812,13.83,377.71,0.035700,36.80,1.55,ok
legacy:华友钴业,603799,SH,华友钴业,能源金属,39.55,-0.055400,-0.088300,-0.006281,-0.416322,30.21,748.89,0.039900,10.68,1.47,ok
legacy:新华保险,601336,SH,新华保险,保险,57.66,-0.004800,-0.019900,-0.088668,-0.147546,8.53,1798.73,0.007100,6.92,1.54,ok
legacy:通威股份,600438,SH,通威股份,光伏设备,12.30,-0.037600,-0.088200,0.109107,-0.400585,6.08,553.74,0.010900,-5.66,1.58,ok
legacy:TCL科技,000100,SZ,TCL科技,光学光电子,5.05,-0.036300,-0.007900,-0.019417,0.134831,28.57,1050.44,0.027800,16.87,1.73,ok
legacy:京东方Ａ,000725,SZ,京东方Ａ,光学光电子,6.01,-0.071100,0.013500,-0.004967,0.446798,163.14,2226.36,0.074900,32.60,1.66,ok
legacy:海尔智家,600690,SH,海尔智家,白色家电,21.97,0.014800,0.010100,0.002281,-0.157915,11.01,2060.27,0.008100,11.07,1.72,ok
legacy:恒力石化,600346,SH,恒力石化,石油加工贸易,18.86,0.050100,0.062500,0.150000,-0.151978,13.95,1327.57,0.010600,8.49,1.93,ok
legacy:中国海油,600938,SH,中国海油,油气开采及服务,33.35,-0.006800,0.015200,0.029639,0.122858,14.93,15851.24,0.014800,10.12,1.90,ok
legacy:圆通速递,600233,SH,圆通速递,物流,18.68,-0.029600,0.010800,0.038932,0.155226,3.74,639.61,0.005800,11.61,1.81,ok
legacy:中国人寿,601628,SH,中国人寿,保险,36.84,-0.003000,-0.013100,-0.101463,-0.179181,9.15,10412.72,0.001200,13.35,1.79,ok
legacy:阿里巴巴-W,09988,HK,阿里巴巴-W,多品类零售Ⅲ[HK],124.30,-0.018900,0.013900,0.094190,-0.129552,74.95,23834.51,0.003100,20.31,1.96,ok
legacy:赛轮轮胎,601058,SH,赛轮轮胎,汽车零部件,14.06,0.012200,0.034600,0.052395,-0.121250,6.18,462.31,0.013300,10.94,2.12,ok
legacy:东方电气,600875,SH,东方电气,其他电源设备,25.91,-0.060600,-0.057500,0.011714,0.090947,14.56,896.06,0.024400,14.13,1.99,ok
legacy:三一重工,600031,SH,三一重工,工程机械,18.93,-0.002100,0.001100,-0.046348,-0.096420,11.59,1740.61,0.007300,17.54,1.96,ok
legacy:万华化学,600309,SH,万华化学,化学制品,73.89,0.008500,-0.015600,-0.001486,-0.020416,22.59,2313.11,0.009800,15.55,2.15,ok
legacy:大金重工,002487,SZ,大金重工,风电设备,38.82,-0.061000,-0.110200,0.045797,-0.251201,8.62,287.30,0.034500,16.53,3.32,ok
legacy:中兴通讯,000063,SZ,中兴通讯,通信设备,33.67,-0.041000,-0.053900,-0.092257,-0.100502,49.75,1610.62,0.036300,30.73,2.15,ok
legacy:小米集团-W,01810,HK,小米集团-W,消费电子[HK],27.50,0.050400,0.043200,0.030735,-0.300254,81.98,7083.60,0.014000,18.94,2.28,ok
legacy:陕西煤业,601225,SH,陕西煤业,煤炭开采加工,25.59,0.003500,0.015500,0.028124,0.253736,11.51,2480.95,0.004600,14.73,2.66,ok
legacy:卫星化学,002648,SZ,卫星化学,化学制品,26.82,-0.000400,0.025200,0.095588,0.561027,16.98,903.47,0.018700,7.25,2.37,ok
legacy:厦钨新能,688778,SH,厦钨新能,电池,46.49,-0.038500,-0.047900,0.059722,-0.396790,2.33,234.63,0.009800,23.88,2.47,ok
legacy:比音勒芬,002832,SZ,比音勒芬,服装家纺,25.20,-0.044400,-0.036700,0.165587,0.767181,3.01,143.82,0.030000,9.31,2.70,ok
legacy:牧原股份,002714,SZ,牧原股份,养殖业,38.84,-0.027300,-0.027300,-0.015213,-0.225647,19.80,2242.23,0.015400,-46.14,2.67,ok
legacy:云铝股份,000807,SZ,云铝股份,工业金属,25.96,-0.023000,-0.053900,0.014855,-0.200271,13.05,900.28,0.014400,6.25,2.62,ok
legacy:湖南裕能,301358,SZ,湖南裕能,电池,71.50,0.020700,0.059300,0.180258,0.111906,24.29,606.13,0.044100,11.17,3.22,ok
legacy:潍柴动力,000338,SZ,潍柴动力,汽车零部件,28.38,-0.069800,-0.082700,0.071914,0.686675,23.44,2452.09,0.016400,19.87,2.66,ok
legacy:兖矿能源,600188,SH,兖矿能源,煤炭开采加工,21.80,-0.027700,-0.013100,-0.010889,0.699143,13.01,2188.03,0.009900,13.83,2.93,ok
legacy:美的集团,000333,SZ,美的集团,白色家电,84.72,0.013600,0.004500,-0.000943,0.138281,28.17,6463.10,0.004900,12.75,3.13,ok
legacy:安踏体育,02020,HK,安踏体育,纺织服饰[HK],73.50,0.019400,0.009600,-0.031621,-0.087523,3.35,2055.54,0.001600,13.66,2.82,ok
legacy:晶泰控股,02228,HK,晶泰控股,医疗服务[HK],7.22,-0.036700,-0.120000,0.032857,-0.235729,2.59,310.93,0.008200,226.94,2.99,ok
legacy:长江电力,600900,SH,长江电力,电力,28.42,0.010700,0.014300,-0.023032,0.085147,36.23,6953.87,0.005200,25.71,3.33,ok
legacy:亚钾国际,000893,SZ,亚钾国际,农化制品,48.22,0.015400,0.021600,-0.004747,0.007501,13.55,445.58,0.034300,20.92,3.23,ok
legacy:药明生物,02269,HK,药明生物,医疗服务[HK],47.70,-0.018100,0.043800,0.228115,0.517176,13.76,1977.16,0.006900,36.38,3.77,ok
legacy:先导智能,300450,SZ,先导智能,电池,33.52,-0.048800,-0.052800,0.051113,-0.325485,11.06,561.20,0.020800,34.61,3.22,ok
legacy:宝丰能源,600989,SH,宝丰能源,化学原料,23.66,0.004700,0.009800,-0.002530,0.231650,19.72,1735.07,0.011400,8.92,3.14,ok
legacy:中芯国际,00981,HK,中芯国际,半导体[HK],72.55,-0.043500,0.076400,-0.004115,0.016095,92.84,6211.05,0.021400,76.48,3.15,ok
legacy:东方财富,300059,SZ,东方财富,证券,18.73,-0.026000,-0.055500,-0.067231,-0.188475,43.62,2963.50,0.017300,19.82,3.14,ok
legacy:腾讯控股,00700,HK,腾讯控股,互动媒体与服务Ⅲ[HK],446.00,0.008100,-0.033800,0.012256,-0.255426,74.75,40599.93,0.001800,15.21,3.10,ok
legacy:天通股份,600330,SH,天通股份,电子化学品,26.65,-0.093200,0.099400,0.391645,1.029703,48.57,328.71,0.143800,-196.39,4.24,ok
legacy:拓普集团,601689,SH,拓普集团,汽车零部件,46.50,-0.090000,-0.075500,-0.060416,-0.393663,17.36,808.09,0.020900,36.61,3.40,ok
legacy:乖宝宠物,301498,SZ,乖宝宠物,农产品加工,39.25,-0.041000,-0.103500,-0.048023,-0.395223,1.97,157.19,0.027600,31.82,3.38,ok
legacy:立讯精密,002475,SZ,立讯精密,消费电子,53.50,-0.073400,-0.067100,-0.095673,-0.051603,86.29,4139.73,0.021600,28.28,4.74,ok
legacy:九号公司-WD,689009,SH,九号公司-WD,汽车服务及其他,44.30,0.000200,-0.012900,0.184904,-0.185167,6.85,325.98,0.027300,16.16,4.43,ok
legacy:安克创新,300866,SZ,安克创新,消费电子,114.91,-0.011900,-0.075500,-0.015085,0.019700,3.11,675.73,0.008700,35.82,6.55,ok
legacy:天赐材料,002709,SZ,天赐材料,电池,37.97,-0.030600,-0.037800,0.076858,-0.174242,22.93,774.04,0.039300,11.70,4.19,ok
legacy:西部矿业,601168,SH,西部矿业,工业金属,36.83,-0.054400,-0.039900,0.009041,0.337328,19.44,877.66,0.021800,10.53,3.91,ok
legacy:亨通光电,600487,SH,亨通光电,通信设备,58.91,-0.099400,-0.006600,0.068759,1.408619,140.23,1452.95,0.094000,32.86,4.58,ok
legacy:宇通客车,600066,SH,宇通客车,汽车整车,29.83,0.008100,0.000300,-0.037121,-0.028339,6.28,660.42,0.009500,17.68,5.09,ok
legacy:阳光电源,300274,SZ,阳光电源,光伏设备,111.49,-0.055500,-0.051400,0.014006,-0.345543,59.47,2311.42,0.033100,25.22,4.89,ok
legacy:东鹏饮料,605499,SH,东鹏饮料,饮料制造,122.75,0.001500,-0.040300,-0.061544,-0.397581,9.25,901.23,0.011100,15.72,4.63,ok
legacy:大族激光,002008,SZ,大族激光,自动化设备,88.20,-0.100000,-0.064700,-0.159440,1.151744,52.45,908.11,0.060200,35.30,4.23,ok
legacy:紫金矿业,601899,SH,紫金矿业,贵金属,32.76,-0.023800,-0.024400,0.017391,-0.039014,62.18,8711.12,0.009200,10.85,4.82,ok
legacy:长电科技,600584,SH,长电科技,半导体,77.74,-0.089900,-0.005600,-0.093728,1.119411,126.92,1391.09,0.089000,119.81,4.87,ok
legacy:宁德时代,300750,SZ,宁德时代,电池,389.00,-0.018300,-0.012500,0.048919,0.083710,82.75,17997.69,0.005000,20.79,4.83,ok
legacy:伟测科技,688372,SH,伟测科技,半导体,125.20,-0.072700,-0.033300,-0.046095,0.153492,10.85,211.58,0.050300,74.65,5.13,ok
legacy:洛阳钼业,603993,SH,洛阳钼业,工业金属,18.00,-0.043600,-0.052600,-0.082101,-0.086943,43.03,3850.98,0.013600,12.41,4.65,ok
legacy:厦门钨业,600549,SH,厦门钨业,小金属,53.70,-0.075900,-0.047400,0.083535,0.320708,34.73,852.53,0.040500,19.26,4.83,ok
legacy:三花智控,002050,SZ,三花智控,白色家电,36.79,-0.071000,-0.060800,-0.040928,-0.330007,34.72,1548.13,0.025200,41.72,4.92,ok
legacy:中国巨石,600176,SH,中国巨石,建筑材料,40.56,-0.096900,-0.063500,0.048062,1.398581,114.35,1623.67,0.068900,32.03,5.15,ok
legacy:药明康德,603259,SH,药明康德,医疗服务,164.00,-0.019000,0.031200,0.302621,0.841435,91.87,4893.36,0.022600,22.08,5.87,ok
legacy:扬杰科技,300373,SZ,扬杰科技,半导体,101.49,-0.006900,0.050200,0.053894,0.503556,33.71,551.44,0.060500,35.82,5.72,ok
legacy:风华高科,000636,SZ,风华高科,元件,56.11,-0.099900,-0.156400,0.358596,2.467647,85.85,649.20,0.127400,183.27,5.25,ok
legacy:优必选,09880,HK,优必选,机械设备Ⅲ[HK],84.20,-0.111800,-0.072700,0.008987,-0.333333,9.38,423.86,0.024600,-54.44,5.30,ok
legacy:巨化股份,600160,SH,巨化股份,化学制品,38.80,-0.030000,-0.058300,0.000516,0.024828,15.00,1047.50,0.014100,22.33,5.09,ok
legacy:赤峰黄金,600988,SH,赤峰黄金,贵金属,42.72,0.012100,0.042500,0.117739,0.381630,26.13,811.86,0.036700,20.54,5.93,ok
legacy:爱旭股份,600732,SH,爱旭股份,光伏设备,11.80,-0.052200,-0.067900,0.000000,-0.119403,4.50,249.59,0.017800,-14.19,5.26,ok
legacy:大中矿业,001203,SZ,大中矿业,钢铁,26.41,-0.028700,-0.062100,0.027626,-0.132733,3.93,404.89,0.011300,62.86,5.62,ok
legacy:地平线机器人-W,09660,HK,地平线机器人-W,汽车零部件Ⅲ[HK],4.76,0.008500,-0.088100,0.002105,-0.450346,4.72,755.58,0.007200,-6.52,4.98,ok
legacy:药明合联,02268,HK,药明合联,医疗服务[HK],67.50,-0.033600,0.056300,0.233790,0.111934,4.02,854.87,0.004600,52.15,7.14,ok
legacy:通富微电,002156,SZ,通富微电,半导体,63.59,-0.100100,0.011600,-0.151001,0.690369,98.95,965.04,0.098800,73.32,6.21,ok
legacy:金盘科技,688676,SH,金盘科技,电网设备,67.88,-0.081500,-0.019800,0.073032,-0.242926,9.94,312.10,0.031100,69.40,6.43,ok
legacy:兴业银锡,000426,SZ,兴业银锡,贵金属,35.96,-0.073400,-0.103500,0.133312,0.010112,29.61,638.52,0.045500,11.93,6.01,ok
legacy:华锡有色,600301,SH,华锡有色,小金属,47.10,-0.054600,-0.048500,0.165842,0.240453,5.53,297.94,0.042000,27.90,5.85,ok
legacy:杰瑞股份,002353,SZ,杰瑞股份,专用设备,150.50,-0.074100,0.068900,0.225271,1.145923,38.43,1540.90,0.035900,64.43,6.62,ok
legacy:应流股份,603308,SH,应流股份,通用设备,46.35,-0.073400,-0.042400,0.063805,0.114451,8.67,314.74,0.026900,65.48,5.78,ok
legacy:天岳先进,688234,SH,天岳先进,半导体,112.63,-0.066500,0.020600,0.132301,0.267214,18.16,545.83,0.036800,-225.51,7.67,ok
legacy:胜宏科技,300476,SZ,胜宏科技,元件,245.38,-0.089200,-0.121700,0.020715,-0.140784,92.40,2411.56,0.042200,46.79,15.40,ok
legacy:建滔积层板,01888,HK,建滔积层板,电子设备和元件[HK],35.56,-0.081100,-0.081100,-0.115251,1.700531,35.51,1120.66,0.031000,45.89,6.82,ok
legacy:圣邦股份,300661,SZ,圣邦股份,半导体,106.49,-0.089200,-0.082100,0.003581,0.555961,19.95,730.06,0.030200,147.55,13.66,ok
legacy:信达生物,01801,HK,信达生物,生物科技Ⅲ[HK],97.90,0.012900,0.024600,0.062331,0.285246,16.35,1707.07,0.009400,189.52,7.92,ok
legacy:中瓷电子,003031,SZ,中瓷电子,通信设备,129.25,-0.100000,0.082600,0.190586,0.777365,22.24,582.99,0.048600,75.40,9.09,ok
legacy:百济神州,06160,HK,百济神州,化学制药[HK],223.00,0.010000,0.029500,0.135878,0.244841,7.54,3439.30,0.002400,67.12,10.12,ok
legacy:麦格米特,002851,SZ,麦格米特,其他电源设备,118.53,-0.100000,-0.056700,-0.100068,0.316415,37.99,693.41,0.063500,151.15,7.74,ok
legacy:恒立液压,601100,SH,恒立液压,工程机械,101.00,-0.064700,-0.041300,-0.029593,-0.076360,10.60,1354.23,0.007700,51.91,7.90,ok
legacy:帝尔激光,300776,SZ,帝尔激光,光伏设备,115.66,-0.111000,-0.032200,-0.006528,0.872976,10.40,329.90,0.048300,50.40,7.09,ok
legacy:中控技术,688777,SH,中控技术,自动化设备,89.35,-0.074600,-0.099200,0.038953,0.821091,14.53,706.93,0.020200,236.64,7.20,ok
legacy:泡泡玛特,09992,HK,泡泡玛特,休闲用品[HK],151.20,0.007300,0.001300,-0.050847,-0.194459,9.41,2013.65,0.004700,14.24,8.23,ok
legacy:菲利华,300395,SZ,菲利华,军工装备,87.23,-0.068600,-0.081700,0.069257,-0.130309,20.94,458.59,0.045800,79.77,9.59,ok
legacy:古茗,01364,HK,古茗,休闲服务与设施[HK],24.52,0.009900,0.081100,0.176583,-0.010492,0.88,583.13,0.001500,16.94,9.04,ok
legacy:江海股份,002484,SZ,江海股份,元件,60.67,-0.100000,-0.069900,-0.145613,1.060592,30.79,516.01,0.060200,79.63,8.31,ok
legacy:三环集团,300408,SZ,三环集团,元件,109.60,-0.116100,-0.143500,0.064284,1.419373,97.26,2188.40,0.045700,69.17,10.16,ok
legacy:康方生物,09926,HK,康方生物,生物科技Ⅲ[HK],89.45,-0.017000,-0.123900,-0.095551,-0.208407,5.34,823.96,0.006400,-66.86,8.23,ok
legacy:彤程新材,603650,SH,彤程新材,橡胶制品,68.00,-0.036400,0.052100,0.027656,0.558132,21.36,418.93,0.049800,57.45,10.44,ok
legacy:德业股份,605117,SH,德业股份,光伏设备,94.87,-0.036100,0.008300,0.179095,0.573666,13.54,1207.91,0.011000,25.42,12.13,ok
legacy:影石创新,688775,SH,影石创新,消费电子,118.00,-0.065500,-0.140400,-0.086829,-0.497659,6.34,473.18,0.020100,139.80,8.29,ok
legacy:江丰电子,300666,SZ,江丰电子,半导体,252.57,-0.092400,-0.043500,0.074400,1.756833,50.74,697.02,0.088400,83.08,9.98,ok
legacy:华虹宏力,01347,HK,华虹宏力,半导体,111.30,-0.136500,-0.220600,-0.310217,0.499327,81.78,1934.09,0.053300,241.06,3.46,ok
legacy:长盈通,688143,SH,长盈通,通信设备,126.26,-0.134000,0.070100,0.262600,1.517145,25.55,162.60,0.158100,689.12,12.05,ok
legacy:芯碁微装,688630,SH,芯碁微装,专用设备,434.00,-0.078900,0.020000,0.082294,2.242920,29.83,635.83,0.050600,146.65,27.33,ok
legacy:光迅科技,002281,SZ,光迅科技,通信设备,177.88,-0.100000,-0.038600,-0.073059,1.542959,72.41,1472.58,0.050300,153.44,10.65,ok
legacy:兆易创新,603986,SH,兆易创新,半导体,403.71,-0.075600,-0.022900,-0.141043,0.890913,269.19,2833.01,0.099100,20.66,7.60,ok
legacy:申菱环境,301018,SZ,申菱环境,通用设备,86.80,-0.103200,-0.055000,-0.047201,0.920651,17.13,324.88,0.067700,286.93,12.01,ok
legacy:旭光电子,600353,SH,旭光电子,其他电子,33.79,-0.099900,0.161600,0.244567,1.105296,37.94,280.06,0.128500,209.80,14.93,ok
legacy:大族数控,301200,SZ,大族数控,自动化设备,294.01,-0.048500,0.045700,0.175805,1.488026,19.03,1437.73,0.014600,111.31,13.02,ok
legacy:德福科技,301511,SZ,德福科技,电池,86.36,-0.124200,-0.038900,0.078152,1.419725,32.96,544.35,0.091900,92.43,13.29,ok
legacy:国城矿业,000688,SZ,国城矿业,小金属,30.97,-0.037000,-0.045900,0.165162,0.119263,4.43,367.02,0.011900,25.98,12.89,ok
legacy:澜起科技,688008,SH,澜起科技,半导体,200.00,-0.082600,-0.071600,-0.101584,0.703374,104.01,2441.08,0.044600,72.02,11.98,ok
legacy:杰普特,688025,SH,杰普特,自动化设备,387.42,-0.077500,0.070300,0.127368,1.753910,19.88,368.24,0.052600,94.25,15.87,ok
legacy:欧陆通,300870,SZ,欧陆通,其他电源设备,205.10,-0.115400,-0.054800,-0.069588,0.301090,20.00,313.07,0.061300,-624.08,12.16,ok
legacy:中微公司,688012,SH,中微公司,半导体,372.00,-0.066100,-0.023500,-0.053411,1.035022,96.73,3563.17,0.027300,95.73,12.95,ok
legacy:盛合晶微,688820,SH,盛合晶微,半导体,141.00,-0.082200,0.021700,-0.037280,,22.95,2626.51,0.091300,343.19,13.65,ok
legacy:深南电路,002916,SZ,深南电路,元件,343.93,-0.099300,-0.108500,0.017605,0.496063,49.95,2342.74,0.021100,68.89,14.24,ok
legacy:中钨高新,000657,SZ,中钨高新,小金属,66.16,-0.093000,-0.060600,0.138530,1.407569,71.05,1507.52,0.072100,40.92,14.84,ok
legacy:沪电股份,002463,SZ,沪电股份,元件,113.41,-0.082400,-0.078000,-0.007178,0.562767,60.84,2182.42,0.027200,43.93,13.79,ok
legacy:中际旭创,300308,SZ,中际旭创,通信设备,895.60,-0.093600,-0.027600,-0.155732,0.470608,328.82,10476.14,0.032300,45.67,30.24,ok
legacy:生益电子,688183,SH,生益电子,元件,103.39,-0.099100,-0.076100,0.023663,0.087217,19.64,865.99,0.022000,38.98,13.30,ok
legacy:铜冠铜箔,301217,SZ,铜冠铜箔,电池,113.88,-0.083200,-0.055000,0.194211,2.322054,51.47,944.08,0.052700,221.93,17.16,ok
legacy:东山精密,002384,SZ,东山精密,元件,197.10,-0.078200,-0.015400,-0.093793,1.328411,147.51,3610.10,0.052600,81.32,15.95,ok
legacy:科翔股份,300903,SZ,科翔股份,元件,73.01,-0.134100,-0.090700,0.123576,2.784863,28.38,317.88,0.105100,-152.82,17.41,ok
legacy:长光华芯,688048,SH,长光华芯,半导体,293.12,-0.130100,-0.027700,-0.023031,1.338412,45.69,516.71,0.085100,2883.67,17.15,ok
legacy:茂莱光学,688502,SH,茂莱光学,光学光电子,459.99,-0.025400,0.127400,0.190173,0.153519,13.53,242.88,0.055500,-546.63,20.61,ok
legacy:生益科技,600183,SH,生益科技,元件,125.47,-0.100000,-0.124000,-0.004206,0.776944,101.33,3047.67,0.032500,46.36,16.47,ok
legacy:绿的谐波,688017,SH,绿的谐波,自动化设备,313.53,-0.176700,-0.116800,-0.010009,0.633905,52.11,574.79,0.084900,440.33,16.28,ok
legacy:瑞芯微,603893,SH,瑞芯微,半导体,182.10,-0.080500,-0.142300,-0.200123,0.030094,32.74,770.54,0.041300,44.85,15.65,ok
legacy:联瑞新材,688300,SH,联瑞新材,非金属材料,140.25,-0.123400,-0.150000,0.092971,1.277155,22.94,338.66,0.064700,113.63,19.54,ok
legacy:长飞光纤,601869,SH,长飞光纤,通信设备,345.24,-0.100000,-0.001600,-0.056850,1.966999,46.27,2858.26,0.032000,144.32,20.43,ok
legacy:英维克,002837,SZ,英维克,专用设备,52.59,-0.086500,-0.061100,-0.130887,-0.359377,23.42,670.18,0.038300,1935.24,20.31,ok
legacy:芯源微,688037,SH,芯源微,半导体,344.69,-0.033100,0.016800,-0.009409,1.321551,31.00,695.47,0.044200,4955.05,24.85,ok
legacy:长川科技,300604,SZ,长川科技,半导体,273.00,-0.093100,-0.049100,-0.116648,1.697362,76.15,1762.44,0.054800,124.98,21.70,ok
legacy:科伦博泰生物,06990,HK,科伦博泰生物,生物科技Ⅲ[HK],519.00,-0.043300,-0.018000,0.006770,0.327129,1.87,1240.53,0.002000,677.81,19.70,ok
legacy:协创数据,300857,SZ,协创数据,计算机设备,247.67,-0.073000,-0.008500,-0.013031,1.059746,61.22,1212.01,0.049500,32.53,19.92,ok
legacy:长芯博创,300548,SZ,长芯博创,通信设备,190.42,-0.117000,0.052200,0.126879,0.343730,38.43,561.37,0.066300,107.90,27.44,ok
legacy:博迁新材,605376,SH,博迁新材,能源金属,152.24,-0.100000,-0.098100,0.049786,1.331394,19.92,398.26,0.048700,139.01,22.97,ok
legacy:长鑫科技,688825,SH,长鑫科技,半导体,57.55,-0.027700,0.075300,,,262.68,38489.95,0.102300,38.86,27.62,ok
legacy:鼎泰高科,301377,SZ,鼎泰高科,通用设备,429.93,-0.087200,-0.043700,0.071130,2.101948,20.02,1823.10,0.046100,174.91,67.26,ok
