日期,行业层级,一级行业代码,一级行业,指数代码,指数名称,收盘价,成交额,日收益率,20日年化波动率
2026-08-17,一级行业,801170,交通运输,801170,交通运输,2058.34000000,182.87490000,0.00950485,0.16122952
2026-08-17,一级行业,801760,传媒,801760,传媒,698.00000000,478.77680000,-0.00891691,0.40680990
2026-08-17,一级行业,801160,公用事业,801160,公用事业,2475.04000000,406.82360000,-0.00052900,0.22210568
2026-08-17,一级行业,801010,农林牧渔,801010,农林牧渔,2452.32000000,188.79990000,0.01321302,0.23679594
2026-08-17,一级行业,801150,医药生物,801150,医药生物,8268.19000000,1585.17340000,0.00629835,0.35269150
2026-08-17,一级行业,801200,商贸零售,801200,商贸零售,1809.06000000,138.47510000,0.01333139,0.25262993
2026-08-17,一级行业,801740,国防军工,801740,国防军工,1693.92000000,476.13590000,0.01586845,0.34099141
2026-08-17,一级行业,801030,基础化工,801030,基础化工,4435.92000000,1117.82360000,0.02238643,0.29100069
2026-08-17,一级行业,801110,家用电器,801110,家用电器,8605.82000000,190.71900000,0.00468028,0.15705458
2026-08-17,一级行业,801710,建筑材料,801710,建筑材料,6297.48000000,340.93520000,0.02264357,0.49981733
2026-08-17,一级行业,801720,建筑装饰,801720,建筑装饰,1985.34000000,319.88720000,0.01355429,0.19384308
2026-08-17,一级行业,801180,房地产,801180,房地产,1911.57000000,149.00950000,0.00464596,0.24353760
2026-08-17,一级行业,801050,有色金属,801050,有色金属,8626.44000000,1355.75060000,0.02812602,0.47537487
2026-08-17,一级行业,801890,机械设备,801890,机械设备,2329.38000000,1671.95750000,0.02837844,0.49415028
2026-08-17,一级行业,801880,汽车,801880,汽车,6617.18000000,532.07540000,0.01532069,0.26605616
2026-08-17,一级行业,801950,煤炭,801950,煤炭,3261.82000000,83.55340000,-0.00456850,0.33368211
2026-08-17,一级行业,801970,环保,801970,环保,1964.05000000,190.07780000,0.00975281,0.29286916
2026-08-17,一级行业,801730,电力设备,801730,电力设备,9854.61000000,1669.53970000,0.02402581,0.34076157
2026-08-17,一级行业,801080,电子,801080,电子,9434.43000000,7197.13980000,0.04579495,0.75928153
2026-08-17,一级行业,801960,石油石化,801960,石油石化,2639.81000000,123.70420000,0.00942195,0.30399112
2026-08-17,一级行业,801210,社会服务,801210,社会服务,7367.16000000,107.72020000,0.01541210,0.30353236
2026-08-17,一级行业,801130,纺织服饰,801130,纺织服饰,1560.68000000,113.74890000,0.01428479,0.28005293
2026-08-17,一级行业,801230,综合,801230,综合,4582.01000000,49.19000000,0.02193976,0.58960723
2026-08-17,一级行业,801980,美容护理,801980,美容护理,3474.07000000,32.99350000,0.00207391,0.29170507
2026-08-17,一级行业,801750,计算机,801750,计算机,4651.44000000,1341.49690000,0.00888848,0.39319747
2026-08-17,一级行业,801140,轻工制造,801140,轻工制造,2099.08000000,147.44560000,0.01226340,0.26444237
2026-08-17,一级行业,801770,通信,801770,通信,7811.56000000,2361.55500000,0.04180109,0.86990676
2026-08-17,一级行业,801040,钢铁,801040,钢铁,2201.13000000,67.06060000,0.00622166,0.21257472
2026-08-17,一级行业,801780,银行,801780,银行,3938.64000000,206.72630000,-0.00214840,0.20859973
2026-08-17,一级行业,801790,非银金融,801790,非银金融,1745.33000000,298.38960000,0.00590751,0.17364143
2026-08-17,一级行业,801120,食品饮料,801120,食品饮料,14063.17000000,439.40030000,-0.01904822,0.24999955
2026-08-17,二级行业,801170,交通运输,801178,物流,4147.66000000,42.87100000,0.00739579,0.17899080
2026-08-17,二级行业,801170,交通运输,801991,航空机场,2300.96000000,18.94720000,0.00141009,0.17979701
2026-08-17,二级行业,801170,交通运输,801992,航运港口,3376.00000000,86.71770000,0.02387112,0.21799643
2026-08-17,二级行业,801170,交通运输,801179,铁路公路,1471.32000000,34.33900000,-0.00131003,0.15970465
2026-08-17,二级行业,801760,传媒,801769,出版,1422.58000000,32.89830000,0.00682978,0.29275632
2026-08-17,二级行业,801760,传媒,801765,广告营销,2663.11000000,170.30530000,0.00354599,0.49523517
2026-08-17,二级行业,801760,传媒,801766,影视院线,1049.00000000,54.71960000,-0.01700792,0.46423203
2026-08-17,二级行业,801760,传媒,801767,数字媒体,1627.03000000,31.61810000,0.00100283,0.39586253
2026-08-17,二级行业,801760,传媒,801764,游戏Ⅱ,2897.47000000,163.47730000,-0.01926624,0.47401092
2026-08-17,二级行业,801760,传媒,801995,电视广播Ⅱ,995.04000000,25.75820000,-0.01177873,0.27207744
2026-08-17,二级行业,801160,公用事业,801163,燃气Ⅱ,3174.87000000,38.42540000,0.01064805,0.23608933
2026-08-17,二级行业,801160,公用事业,801161,电力,3248.55000000,368.39820000,-0.00153065,0.23044596
2026-08-17,二级行业,801010,农林牧渔,801017,养殖业,2643.18000000,55.52360000,0.00538604,0.27277701
2024-06-17,二级行业,801010,农林牧渔,801019,农业综合Ⅱ,1017.95000000,1.25278231,-0.01778305,0.27895502
2026-08-17,二级行业,801010,农林牧渔,801012,农产品加工,2179.93000000,36.10000000,0.02648221,0.25645938
2026-08-17,二级行业,801010,农林牧渔,801018,动物保健Ⅱ,4573.78000000,9.09660000,-0.00281467,0.30309107
2024-06-17,二级行业,801010,农林牧渔,801011,林业Ⅱ,560.05000000,0.83046520,-0.01905663,0.35320758
2026-08-17,二级行业,801010,农林牧渔,801015,渔业,709.89000000,4.10380000,0.01349152,0.29986416
2026-08-17,二级行业,801010,农林牧渔,801016,种植业,2301.75000000,55.76600000,0.04203450,0.31232134
2026-08-17,二级行业,801010,农林牧渔,801014,饲料,3511.24000000,21.61320000,0.00833666,0.22036951
2026-08-17,二级行业,801150,医药生物,801155,中药Ⅱ,5753.97000000,159.67850000,-0.00006604,0.20450221
2026-08-17,二级行业,801150,医药生物,801151,化学制药,12345.76000000,509.27620000,0.00587519,0.39648546
2026-08-17,二级行业,801150,医药生物,801153,医疗器械,5871.39000000,231.75330000,-0.00020093,0.24540797
2026-08-17,二级行业,801150,医药生物,801156,医疗服务,8926.28000000,439.40370000,0.02264387,0.56799671
2026-08-17,二级行业,801150,医药生物,801154,医药商业,4757.44000000,89.31510000,-0.00812896,0.24854532
2026-08-17,二级行业,801150,医药生物,801152,生物制品,5815.31000000,155.74660000,-0.00117482,0.41534220
2026-08-17,二级行业,801200,商贸零售,801203,一般零售,2749.12000000,85.63600000,0.02079752,0.26798566
2026-08-17,二级行业,801200,商贸零售,801204,专业连锁Ⅱ,3590.66000000,6.98780000,0.00205957,0.28983874
2026-08-17,二级行业,801200,商贸零售,801206,互联网电商,9984.54000000,23.92180000,0.00597163,0.30970646
2024-06-17,二级行业,801200,商贸零售,801207,旅游零售Ⅱ,8063.33000000,7.79581263,-0.00721626,0.26478795
2026-08-17,二级行业,801200,商贸零售,801202,贸易Ⅱ,4217.38000000,9.54820000,0.01116327,0.28753552
2026-08-17,二级行业,801740,国防军工,801745,军工电子Ⅱ,6240.76000000,204.73730000,0.01765514,0.47953353
2026-08-17,二级行业,801740,国防军工,801743,地面兵装Ⅱ,15476.04000000,41.45780000,0.02096684,0.39654703
2026-08-17,二级行业,801740,国防军工,801741,航天装备Ⅱ,26659.72000000,47.04390000,0.03083968,0.60516990
2026-08-17,二级行业,801740,国防军工,801744,航海装备Ⅱ,3135.64000000,53.06310000,0.00977690,0.27090715
2026-08-17,二级行业,801740,国防军工,801742,航空装备Ⅱ,8514.49000000,129.83390000,0.01266532,0.26763674
2026-08-17,二级行业,801030,基础化工,801038,农化制品,5132.98000000,143.81100000,0.01948813,0.31121329
2026-08-17,二级行业,801030,基础化工,801034,化学制品,6723.55000000,435.47270000,0.02034607,0.27994271
2026-08-17,二级行业,801030,基础化工,801033,化学原料,3300.27000000,160.99140000,0.01976955,0.25528337
2026-08-17,二级行业,801030,基础化工,801032,化学纤维,4588.11000000,42.52070000,0.01740501,0.30367973
2026-08-17,二级行业,801030,基础化工,801036,塑料,5110.26000000,231.29650000,0.03187545,0.58553968
2026-08-17,二级行业,801030,基础化工,801037,橡胶,4899.90000000,36.32900000,0.04009764,0.48048258
2026-08-17,二级行业,801030,基础化工,801039,非金属材料Ⅱ,6678.98000000,67.40240000,0.02832957,0.82105069
2024-06-17,二级行业,801110,家用电器,801117,其他家电Ⅱ,473.77000000,0.79529547,-0.01320531,0.27218433
2026-08-17,二级行业,801110,家用电器,801114,厨卫电器,7873.54000000,7.81790000,-0.00090348,0.28720322
2026-08-17,二级行业,801110,家用电器,801116,家电零部件Ⅱ,6679.88000000,65.61400000,0.02113544,0.46012056
2026-08-17,二级行业,801110,家用电器,801113,小家电,4133.01000000,24.35020000,0.03164056,0.32914485
2026-08-17,二级行业,801110,家用电器,801115,照明设备Ⅱ,4502.82000000,19.68760000,0.02933364,0.40748117
2026-08-17,二级行业,801110,家用电器,801111,白色家电,19050.40000000,48.44380000,-0.00258589,0.20546948
2026-08-17,二级行业,801110,家用电器,801112,黑色家电,1955.24000000,23.39840000,0.00190107,0.33564955
2026-08-17,二级行业,801710,建筑材料,801711,水泥,3961.35000000,19.08500000,0.00651982,0.23330438
2026-08-17,二级行业,801710,建筑材料,801712,玻璃玻纤,22289.51000000,287.94950000,0.03575309,0.93523715
2026-08-17,二级行业,801710,建筑材料,801713,装修建材,4451.93000000,33.90070000,0.01171720,0.28302825
2026-08-17,二级行业,801720,建筑装饰,801724,专业工程,1798.07000000,61.83960000,0.02483329,0.30741335
2026-08-17,二级行业,801720,建筑装饰,801723,基础建设,2065.56000000,42.75640000,0.00322012,0.16286176
2026-08-17,二级行业,801720,建筑装饰,801726,工程咨询服务Ⅱ,2338.73000000,127.15920000,0.02120367,0.45865349
2026-08-17,二级行业,801720,建筑装饰,801721,房屋建设Ⅱ,2728.23000000,22.68020000,-0.00004765,0.15908977
2026-08-17,二级行业,801720,建筑装饰,801722,装修装饰Ⅱ,4350.62000000,65.45180000,0.03037394,0.46298312
2026-08-17,二级行业,801180,房地产,801181,房地产开发,2214.04000000,142.37140000,0.00418175,0.24270280
2026-08-17,二级行业,801180,房地产,801183,房地产服务,743.78000000,6.63810000,0.01257930,0.29283892
2026-08-17,二级行业,801050,有色金属,801054,小金属,39749.59000000,475.24430000,0.02564685,0.60614220
2026-08-17,二级行业,801050,有色金属,801055,工业金属,3441.11000000,503.83120000,0.03110598,0.46608621
2026-08-17,二级行业,801050,有色金属,801056,能源金属,17626.40000000,134.42920000,0.01138108,0.55450361
2026-08-17,二级行业,801050,有色金属,801053,贵金属,26591.71000000,144.44130000,0.03526769,0.63810183
2026-08-17,二级行业,801050,有色金属,801051,金属新材料,9866.22000000,97.80460000,0.02648984,0.59007601
