code,name,price,change,change_5d,change_20d,change_60d,ytd,amount_yi,turnover,pe_ttm,pb,mcap_yi,data_status,source
801950,煤炭(申万),3334.81,0.004733,0.019299,0.059319,0.036412,0.211861,164.7794978,0.0174,20.5,1.56,21569.63938114,ok,我的自选-行情报价（行业指数）(1).xlsx
821001,能源,1799.82,0.0205,-0.0097,-0.0097,-0.0301,0.0747,353.73496666489996,0.0076,15.5,1.39,72489.74633664,stale,我的自选-行情报价（行业指数）(1).xlsx
518880,黄金ETF华安,9.39,0.016677,0.049408,0.119618,0.028033,0.009354,66.28732597,0.0674,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
802024,贵金属,29814.96,0.046399,0.160965,0.337342,0.237101,0.242677,370.7019889121,0.032,17.08,4.24,14553.00360704,ok,我的自选-行情报价（行业指数）(1).xlsx
801960,石油石化(申万),2754.78,0.013636,0.054389,0.075720,0.034523,0.064962,146.80915308,0.0045,14.29,1144.32,49413.55244982,ok,我的自选-行情报价（行业指数）(1).xlsx
801741,航天装备Ⅱ(申万),23923.07,0.010082,-0.075005,0.021615,-0.271876,-0.320808,62.21923603,0.0197,402.75,6.65,3714.31924444,ok,我的自选-行情报价（行业指数）(1).xlsx
833024,小金属,2439.77,0.0132,0.0984,0.0984,-0.1288,0.1445,577.6026949804,0.037,29.96,4.36,14949.32233472,stale,我的自选-行情报价（行业指数）(1).xlsx
802046,半导体,9938.27,0.004734,-0.026378,-0.049475,-0.102488,0.429895,2951.5122441832,0.0522,148.81,11.6,131952.42012672,ok,我的自选-行情报价（行业指数）(1).xlsx
801051,金属新材料(申万),9327.31,0.013945,-0.029465,0.122049,-0.168432,-0.036443,115.86078794,0.0357,70.63,165.26,3554.40396634,ok,我的自选-行情报价（行业指数）(1).xlsx
831010,化工,1604.87,0.0116,0.0319,0.0319,-0.0798,0.0288,1071.9877286666,0.017,29.98,1.6,42463.76899568,stale,我的自选-行情报价（行业指数）(1).xlsx
801080,电子(申万),8773.72,0.009840,-0.027570,0.004184,-0.122896,0.338643,6610.47066454,0.0413,98.07,365.9,236047.34813731,ok,我的自选-行情报价（行业指数）(1).xlsx
861356,商业航天,1665.07,0.0107,0.0881,0.0881,-0.2232,-0.0829,1909.3026798888,0.0266,63.25,2.41,57324.81801216,stale,我的自选-行情报价（行业指数）(1).xlsx
801770,通信(申万),7394.15,0.024680,-0.013907,0.018808,-0.151385,0.344019,1953.94118581,0.0227,31.76,549.3,72340.41234868,ok,我的自选-行情报价（行业指数）(1).xlsx
861520,微盘股,3294.0,0.009,0.0655,0.0655,-0.1549,-0.0028,162.4027522958,0.0238,-70.2,2.03,8136.33813632,stale,我的自选-行情报价（行业指数）(1).xlsx
821002,原材料,1758.72,0.0077,0.0587,0.0587,-0.1321,0.0087,4095.8817987643,0.0235,34.57,2.39,146799.28410896,stale,我的自选-行情报价（行业指数）(1).xlsx
801030,基础化工(申万),4332.46,0.003423,-0.000978,0.075319,-0.074980,-0.009132,1045.548014,0.0227,36.02,56.9,45459.76079137,ok,我的自选-行情报价（行业指数）(1).xlsx
801130,纺织服饰(申万),1525.39,-0.000334,-0.008438,0.096977,-0.046250,-0.098539,105.2093967,0.0174,26.61,79.42,6083.95297916,ok,我的自选-行情报价（行业指数）(1).xlsx
801180,房地产(申万),1866.97,-0.010824,-0.018113,0.071924,-0.093321,-0.150253,133.77066422,0.0145,-4.8,28.16,9551.68553369,ok,我的自选-行情报价（行业指数）(1).xlsx
801050,有色金属(申万),8599.14,0.027222,0.025048,0.128416,-0.035911,0.022661,1804.75300284,0.0345,21.66,58.28,56962.3451386,ok,我的自选-行情报价（行业指数）(1).xlsx
803079,稀土,17012.71,0.046043,-0.023721,0.093862,-0.253616,-0.201658,99.6247137323,0.0387,65.09,5.84,2750.6067456,ok,我的自选-行情报价（行业指数）(1).xlsx
801780,银行(申万),4036.97,-0.002813,0.023962,0.013306,0.049976,-0.034910,281.11824521,0.0029,6.87,0.58,150615.62279749,ok,我的自选-行情报价（行业指数）(1).xlsx
801890,机械设备(申万),2219.92,0.006497,-0.019816,0.071561,-0.136336,0.032170,1550.35565215,0.0228,49.53,367.87,61403.7755345,ok,我的自选-行情报价（行业指数）(1).xlsx
H30269,红利低波,10794.96,0.0027,-0.0297,-0.0297,-0.0375,-0.0396,353.40741924,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
801740,国防军工(申万),1602.69,0.009925,-0.038382,0.033533,-0.177416,-0.190838,513.83990444,0.0204,80.62,900.79,29633.34624313,ok,我的自选-行情报价（行业指数）(1).xlsx
899050,北证50,1119.78,0.0003,0.0337,0.0337,-0.2215,-0.2226,168.40571298,0.0804,44.34,3.76,2811.13034496,stale,我的自选-行情报价（行业指数）(1).xlsx
803080,小金属,37621.90,0.018512,-0.029062,0.149297,-0.072538,0.238019,,,0.0,0.0,0.0,ok,我的自选-行情报价（行业指数）(1).xlsx
801010,22天津74,2449.68,-0.025081,0.012896,0.059225,-0.006775,-0.178291,,,,,,ok,我的自选-行情报价（行业指数）(1).xlsx
801720,建筑装饰(申万),1938.32,-0.002942,-0.010102,0.045463,-0.089366,-0.087841,290.30145585,0.0119,13.62,160.67,17168.98290028,ok,我的自选-行情报价（行业指数）(1).xlsx
801742,航空装备Ⅱ(申万),8088.98,0.003888,-0.037426,0.028061,-0.200496,-0.248742,134.13761481,0.0149,70.65,2.97,9027.10601202,ok,我的自选-行情报价（行业指数）(1).xlsx
801020,建筑,3426.43,-0.009565,-0.019008,0.071107,-0.111624,,276.64956833310004,0.0118,12.62,0.61,16427.1706944,ok,我的自选-行情报价（行业指数）(1).xlsx
801125,白酒Ⅱ(申万),35739.00,-0.014692,-0.049987,-0.012444,-0.037773,-0.173302,118.79807741,0.0156,19.62,3.78,24668.40660226,ok,我的自选-行情报价（行业指数）(1).xlsx
801744,航海装备Ⅱ(申万),3102.10,0.020898,-0.000296,0.038645,-0.085644,0.046967,61.5735305,0.016,32.28,2.72,5366.16491523,ok,我的自选-行情报价（行业指数）(1).xlsx
801120,食品饮料(申万),13788.89,-0.013592,-0.037686,0.002304,-0.037785,-0.149769,271.08828405,0.0167,21.18,140.18,38125.80361248,ok,我的自选-行情报价（行业指数）(1).xlsx
HSIDI,恒生创新药指数,2467.15,-0.0038,0.0081,0.0081,-0.1095,-0.0841,48.05595539,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
801110,家用电器(申万),8580.88,-0.009349,0.002744,0.025747,-0.029965,-0.068705,156.23445658,0.0121,18.09,1744.54,19580.83949413,ok,我的自选-行情报价（行业指数）(1).xlsx
930713,CS人工智,6340.74,-0.0049,0.0442,0.0442,-0.0955,0.2004,1794.21047668,0.0,0.0,0.0,0.0,stale,我的自选-行情报价（行业指数）(1).xlsx
801155,中药Ⅱ(申万),5550.84,-0.034265,-0.034920,0.004430,-0.000157,-0.109632,115.20844305,0.0177,27.04,223.13,7872.35888016,ok,我的自选-行情报价（行业指数）(1).xlsx
801750,计算机(申万),4381.71,0.000930,-0.049469,0.045799,-0.114214,-0.159184,1602.85870354,0.0403,136.42,42.63,43358.39791196,ok,我的自选-行情报价（行业指数）(1).xlsx
