instrument_id,code,exchange,name,industry,price,change,change_5d,change_20d,ytd,amount_yi,mcap_yi,turnover,pe_ttm,pb,data_status
600519,600519,SSE,贵州茅台,白酒,1292.30,-0.008100,0.000600,-0.051008,-0.042145,32.04,16154.80,0.002000,18.14,6.43,ok
legacy:工商银行,601398,SH,工商银行,银行,7.82,-0.012600,0.005100,-0.040491,0.007732,27.81,27870.97,0.001300,8.01,0.72,ok
legacy:中国平安,601318,SH,中国平安,保险,55.87,-0.004600,0.071500,0.001254,-0.161740,36.07,10116.74,0.006100,5.46,0.98,ok
legacy:理想汽车-W,02015,HK,理想汽车-W,汽车[HK],48.60,0.010400,-0.038600,-0.104147,-0.250578,4.20,1006.93,0.005000,-19.13,1.35,ok
legacy:中信证券,600030,SH,中信证券,证券,27.93,0.005800,0.032900,-0.019656,-0.002856,37.61,4363.86,0.011100,9.35,1.48,ok
legacy:中国移动,600941,SH,中国移动,通信服务,98.04,-0.004200,0.013900,-0.006687,-0.008184,5.64,21262.14,0.006400,13.47,1.50,ok
legacy:兴发集团,600141,SH,兴发集团,农化制品,31.15,0.024700,0.009400,0.078228,-0.085974,11.30,374.34,0.030500,22.40,1.50,ok
legacy:华友钴业,603799,SH,华友钴业,能源金属,40.18,0.005300,0.021100,0.006261,-0.407025,17.57,760.82,0.023400,10.85,1.50,ok
legacy:新华保险,601336,SH,新华保险,保险,60.59,-0.006400,0.043200,-0.000989,-0.104228,16.00,1890.13,0.012800,4.15,1.53,ok
legacy:通威股份,600438,SH,通威股份,光伏设备,11.90,-0.009200,-0.034100,0.017964,-0.420078,4.18,535.74,0.007800,-5.23,1.66,ok
legacy:TCL科技,000100,SZ,TCL科技,光学光电子,4.97,0.012200,-0.011900,0.052966,0.116854,18.63,1033.80,0.018700,16.61,1.70,ok
legacy:京东方Ａ,000725,SZ,京东方Ａ,光学光电子,5.94,0.038500,0.006800,0.108209,0.429947,79.76,2200.43,0.038400,32.22,1.64,ok
legacy:海尔智家,600690,SH,海尔智家,白色家电,21.12,-0.001400,0.010500,-0.056974,-0.162437,5.98,1980.56,0.004500,10.64,1.65,ok
legacy:恒力石化,600346,SH,恒力石化,石油加工贸易,18.90,0.033400,0.003200,0.117021,-0.150180,5.50,1330.39,0.004200,9.23,1.85,ok
legacy:中国海油,600938,SH,中国海油,油气开采及服务,33.82,0.014700,0.015600,0.039017,0.138682,14.16,16074.63,0.014100,9.37,1.88,ok
legacy:圆通速递,600233,SH,圆通速递,物流,16.95,0.000000,-0.031400,-0.084279,0.048237,2.35,580.37,0.004100,9.14,1.56,ok
legacy:中国人寿,601628,SH,中国人寿,保险,38.61,0.000800,0.046600,-0.028435,-0.139744,12.71,10913.00,0.001600,13.99,1.88,ok
legacy:阿里巴巴-W,09988,HK,阿里巴巴-W,多品类零售Ⅲ[HK],115.50,-0.009400,-0.084800,0.033095,-0.191176,96.56,22967.16,0.004200,27.03,1.82,ok
legacy:赛轮轮胎,601058,SH,赛轮轮胎,汽车零部件,13.99,0.003600,-0.011300,-0.023726,-0.125625,2.74,460.01,0.006000,10.89,2.11,ok
legacy:东方电气,600875,SH,东方电气,其他电源设备,25.95,0.007400,0.010500,0.041750,0.092632,7.44,897.44,0.012800,16.54,1.95,ok
legacy:三一重工,600031,SH,三一重工,工程机械,19.06,0.010600,0.000500,-0.084974,-0.090215,9.46,1752.57,0.005900,17.66,1.97,ok
legacy:万华化学,600309,SH,万华化学,化学制品,75.92,0.019200,0.010100,-0.008359,0.006496,27.44,2376.65,0.011600,11.81,2.09,ok
legacy:大金重工,002487,SZ,大金重工,风电设备,35.41,0.004300,-0.096500,-0.110302,-0.316976,5.73,262.06,0.026000,21.82,1.82,ok
legacy:中兴通讯,000063,SZ,中兴通讯,通信设备,33.96,0.012500,0.003500,0.019820,-0.092755,22.30,1624.49,0.016400,29.51,2.16,ok
legacy:小米集团-W,01810,HK,小米集团-W,消费电子[HK],27.48,-0.034400,-0.010100,-0.114691,-0.300763,40.45,7078.57,0.006800,18.92,2.28,ok
legacy:陕西煤业,601225,SH,陕西煤业,煤炭开采加工,27.00,0.024700,0.056800,0.091350,0.322816,10.72,2617.65,0.004100,11.61,2.59,ok
legacy:卫星化学,002648,SZ,卫星化学,化学制品,27.39,0.039100,0.010700,0.079622,0.594203,12.53,922.67,0.013800,7.41,2.43,ok
legacy:厦钨新能,688778,SH,厦钨新能,电池,47.02,0.004700,0.023500,0.012053,-0.389913,2.34,237.31,0.010000,24.16,2.50,ok
legacy:比音勒芬,002832,SZ,比音勒芬,服装家纺,24.03,-0.004600,-0.037600,-0.068605,0.685133,1.41,137.14,0.015100,8.88,2.57,ok
legacy:牧原股份,002714,SZ,牧原股份,养殖业,40.80,0.020300,0.024600,0.022044,-0.186570,19.06,2355.38,0.014400,-19.38,2.98,ok
legacy:云铝股份,000807,SZ,云铝股份,工业金属,26.69,0.012900,0.056600,0.007170,-0.177783,16.92,925.60,0.018400,6.43,2.70,ok
legacy:湖南裕能,301358,SZ,湖南裕能,电池,62.48,-0.014500,-0.038200,-0.026488,-0.028365,16.35,529.66,0.034800,9.10,2.59,ok
legacy:潍柴动力,000338,SZ,潍柴动力,汽车零部件,26.99,-0.001500,-0.046300,0.054874,0.604065,32.54,2332.00,0.024500,18.90,2.53,ok
legacy:兖矿能源,600188,SH,兖矿能源,煤炭开采加工,22.68,0.050000,0.061800,0.118895,0.767732,11.07,2276.36,0.008300,14.39,3.05,ok
legacy:美的集团,000333,SZ,美的集团,白色家电,86.18,-0.002400,0.009400,-0.031141,0.157898,18.84,6574.50,0.003200,12.97,3.19,ok
legacy:安踏体育,02020,HK,安踏体育,纺织服饰[HK],77.80,-0.012100,0.038700,-0.022613,-0.034140,13.63,2175.80,0.006200,11.92,2.64,ok
legacy:晶泰控股,02228,HK,晶泰控股,医疗服务[HK],7.46,-0.011900,-0.072700,0.158385,-0.211416,3.08,321.04,0.009600,-131.68,3.10,ok
legacy:长江电力,600900,SH,长江电力,电力,28.10,-0.005000,-0.002100,-0.047135,0.072929,26.58,6875.57,0.003900,25.42,3.30,ok
