date,instrument_id,code,exchange,name,industry,price,change,change_5d,change_20d,ytd,amount_yi,mcap_yi,turnover,pe_ttm,pb,data_status
2026-08-14,600519,600519,SSE,贵州茅台,白酒,1341.99,-0.009800,0.025000,0.071022,-0.005311,40.24,16775.97,0.002400,18.84,6.68,ok
2026-08-14,CN.SSE.600276,600276,SSE,恒瑞医药,化学制药,52.62,-0.021200,-0.036600,-0.010716,-0.113694,46.15,3492.49,0.013700,38.26,5.60,ok
2026-08-14,legacy:TCL科技,000100,SZ,TCL科技,光学光电子,5.14,-0.005800,0.057600,0.028000,0.155056,22.91,1069.16,0.022200,17.17,1.76,ok
2026-08-14,legacy:万华化学,600309,SH,万华化学,化学制品,73.04,-0.001000,-0.035400,0.042833,-0.031685,14.24,2286.50,0.006200,15.38,2.13,ok
2026-08-14,legacy:三一重工,600031,SH,三一重工,工程机械,18.75,0.001600,-0.042400,0.005362,-0.105012,8.88,1724.06,0.005600,17.37,1.94,ok
2026-08-14,legacy:三环集团,300408,SZ,三环集团,元件,129.09,0.005400,0.013300,0.303808,1.849606,67.60,2577.56,0.028100,81.48,11.97,ok
2026-08-14,legacy:三花智控,002050,SZ,三花智控,白色家电,38.30,-0.006000,-0.021000,-0.036478,-0.302508,16.64,1611.67,0.011800,43.44,5.12,ok
2026-08-14,legacy:上纬新材,688585,SH,上纬新材,塑料制品,167.33,-0.001200,-0.012200,0.331503,0.313732,5.78,674.95,0.008600,-202.64,57.33,ok
2026-08-14,legacy:东山精密,002384,SZ,东山精密,元件,205.19,0.015200,0.050800,-0.151827,1.423981,114.20,3758.28,0.040400,84.65,16.60,ok
2026-08-14,legacy:东方电气,600875,SH,东方电气,其他电源设备,26.91,-0.004800,-0.017500,0.105588,0.133053,7.96,930.64,0.013100,14.67,2.07,ok
2026-08-14,legacy:东方财富,300059,SZ,东方财富,证券,19.47,-0.015700,-0.025500,-0.011675,-0.156412,48.14,3080.58,0.018400,20.60,3.27,ok
2026-08-14,legacy:东鹏饮料,605499,SH,东鹏饮料,饮料制造,122.93,-0.024100,0.001100,-0.012055,-0.396698,9.88,902.55,0.011800,15.74,4.63,ok
2026-08-14,legacy:中信证券,600030,SH,中信证券,证券,27.31,-0.019000,-0.022900,-0.010507,-0.024991,35.40,4266.99,0.010600,10.44,1.49,ok
2026-08-14,legacy:中兴通讯,000063,SZ,中兴通讯,通信设备,35.05,-0.000900,0.010100,-0.015228,-0.063635,39.12,1676.63,0.027800,31.99,2.23,ok
2026-08-14,legacy:中国人寿,601628,SH,中国人寿,保险,36.84,-0.016600,-0.044900,-0.056594,-0.179181,9.50,10412.72,0.001200,13.35,1.79,ok
2026-08-14,legacy:中国巨石,600176,SH,中国巨石,建筑材料,44.39,0.059400,0.000200,0.013470,1.625074,121.73,1776.99,0.070100,35.06,5.64,ok
2026-08-14,legacy:中国平安,601318,SH,中国平安,保险,51.75,-0.019900,-0.030500,0.020710,-0.223556,33.46,9370.70,0.006000,9.36,0.95,ok
2026-08-14,legacy:中国海油,600938,SH,中国海油,油气开采及服务,32.67,0.001200,0.042800,0.127718,0.099963,11.72,15528.04,0.012100,9.92,1.86,ok
2026-08-14,legacy:中国移动,600941,SH,中国移动,通信服务,97.71,0.016600,0.023100,0.046146,-0.011523,13.42,21190.58,0.015300,13.42,1.49,ok
2026-08-14,legacy:中微公司,688012,SH,中微公司,半导体,374.85,0.012000,0.019600,0.068893,1.050613,55.52,3590.47,0.015800,96.47,13.05,ok
2026-08-14,legacy:中控技术,688777,SH,中控技术,自动化设备,95.19,-0.012000,-0.080100,0.087886,0.940119,17.41,753.13,0.023400,252.11,7.67,ok
2026-08-14,legacy:中瓷电子,003031,SZ,中瓷电子,通信设备,130.08,0.100000,0.122700,0.212528,0.788779,16.32,586.73,0.038400,75.88,9.15,ok
2026-08-14,legacy:中船特气,688146,SH,中船特气,电子化学品,300.96,0.018500,-0.047600,0.199044,6.485822,43.72,1593.32,0.100500,228.99,26.52,ok
2026-08-14,legacy:中芯国际,00981,HK,中芯国际,半导体[HK],70.80,0.048100,0.058300,0.045790,-0.009097,120.61,6061.23,0.028300,74.63,3.07,ok
2026-08-14,legacy:中钨高新,000657,SZ,中钨高新,小金属,68.29,0.023800,0.019100,0.123930,1.485080,53.69,1556.06,0.054600,42.23,15.32,ok
2026-08-14,legacy:中际旭创,300308,SZ,中际旭创,通信设备,943.00,0.023800,0.025100,-0.037225,0.548440,186.91,11030.60,0.018000,48.09,31.84,ok
2026-08-14,legacy:乖宝宠物,301498,SZ,乖宝宠物,农产品加工,41.08,-0.034500,-0.042200,0.029316,-0.367026,2.72,164.51,0.036600,33.30,3.54,ok
2026-08-14,legacy:九号公司-WD,689009,SH,九号公司-WD,汽车服务及其他,44.48,-0.010200,0.109500,0.160540,-0.181857,4.47,327.31,0.017700,16.23,4.45,ok
2026-08-14,legacy:云南锗业,002428,SZ,云南锗业,小金属,101.59,0.013800,0.015100,0.353631,2.200693,79.58,663.50,0.119600,1821.39,45.36,ok
2026-08-14,legacy:云铝股份,000807,SZ,云铝股份,工业金属,25.91,0.000800,-0.045000,0.031449,-0.201811,15.20,898.55,0.017000,6.24,2.62,ok
2026-08-14,legacy:亚钾国际,000893,SZ,亚钾国际,农化制品,45.35,-0.011100,-0.059700,0.064804,-0.052464,3.19,419.06,0.008700,19.67,3.04,ok
