date,advance,decline,flat,limit_up,limit_down,effective_stocks,total_amount_100m,hot_count,hot_amount_100m,hot_concentration,market_breadth,snapshot_source,limit_source
2026-01-05,3837,1064,95,,,4996,25346.2636693300,,,,0.5658028974,,
2026-01-06,3726,1158,111,,,4995,27926.6907592800,,,,0.5257985258,,
2026-01-07,2010,2902,85,,,4997,28422.2501593700,,,,-0.1815960912,,
2026-01-08,3426,1457,114,,,4997,27874.3138473000,,,,0.4032357157,,
2026-01-09,3637,1188,171,,,4996,31061.8241908800,,,,0.5075647668,,
2026-01-12,3801,1073,122,,,4996,35839.6544211000,,,,0.5597045548,,
2026-01-13,1462,3438,93,,,4993,36351.1143943600,,,,-0.4032653061,,
2026-01-14,2490,2399,104,,,4993,39255.9672311600,,,,0.0186132133,,
2026-01-15,2088,2808,98,,,4994,28898.2939680700,,,,-0.1470588235,,
2026-01-16,2172,2724,100,,,4996,30120.7730228900,,,,-0.1127450980,,
2026-01-19,3313,1597,88,,,4998,26937.7465524300,,,,0.3494908350,,
2026-01-20,2071,2818,113,,,5002,27628.5532820200,,,,-0.1527919820,,
2026-01-21,2867,1975,158,88.0000000000,11.0000000000,5000,25872.4621560900,,,,0.1842213961,,
2026-01-22,3245,1653,101,92.0000000000,5.0000000000,4999,26774.6534883000,,,,0.3250306247,,
2026-01-23,3594,1281,125,121.0000000000,2.0000000000,5000,30694.0882275100,,,,0.4744615385,,
2026-01-26,1465,3448,84,77.0000000000,40.0000000000,4997,32302.7342411500,,,,-0.4036230409,,
2026-01-27,1792,3130,75,59.0000000000,12.0000000000,4997,28789.7887984200,,,,-0.2718407152,,
2026-01-28,1596,3321,79,84.0000000000,28.0000000000,4996,29475.0839462400,,,,-0.3508236730,,
2026-01-29,1672,3233,92,86.0000000000,35.0000000000,4997,32100.9071567700,,,,-0.3182466871,,
2026-01-30,2267,2630,100,57.0000000000,60.0000000000,4997,28194.9240739400,,,,-0.0741270165,,
2026-02-02,690,4277,32,44.0000000000,123.0000000000,4999,25696.7233278900,,,,-0.7221662976,,
2026-02-03,4471,459,69,83.0000000000,22.0000000000,4999,25305.8726816300,,,,0.8137931034,,
2026-02-04,3045,1890,67,77.0000000000,14.0000000000,5002,24683.4458016100,,,,0.2340425532,,
2026-02-05,1506,3377,118,56.0000000000,23.0000000000,5001,21599.2351802600,,,,-0.3831660864,,
2026-02-06,2485,2371,145,61.0000000000,10.0000000000,5001,21320.4339350800,,,,0.0234761120,,
2026-02-09,4263,663,74,96.0000000000,8.0000000000,5000,22369.9597174800,,,,0.7308160780,,
2026-02-10,2083,2792,127,71.0000000000,10.0000000000,5002,20841.3697252100,,,,-0.1454358974,,
2026-02-11,1906,2944,154,60.0000000000,10.0000000000,5004,19696.4378715200,,,,-0.2140206186,,
2026-02-12,1953,2982,71,69.0000000000,22.0000000000,5006,21292.9337721600,,,,-0.2085106383,,
2026-02-13,1338,3579,87,46.0000000000,16.0000000000,5004,19701.8264009100,,,,-0.4557657108,,
2026-02-24,3644,1294,67,109.0000000000,21.0000000000,5005,21886.6842943600,,,,0.4759011746,,
2026-02-25,3397,1500,105,101.0000000000,4.0000000000,5002,24458.6092301300,,,,0.3873800286,,
2026-02-26,2315,2582,105,78.0000000000,5.0000000000,5002,25237.6097035800,,,,-0.0545231775,,
2026-02-27,3043,1839,122,91.0000000000,1.0000000000,5004,24726.3430202300,,,,0.2466202376,,
2026-03-02,1068,3890,44,94.0000000000,21.0000000000,5002,30044.0054521200,,,,-0.5691811214,,
2026-03-03,537,4447,19,85.0000000000,82.0000000000,5003,31113.3003133200,,,,-0.7845104334,,
2026-03-04,1548,3377,78,46.0000000000,21.0000000000,5003,23523.6635578900,,,,-0.3713705584,,
2026-03-05,3724,1197,83,79.0000000000,7.0000000000,5004,23768.5069028300,,,,0.5135135135,,
2026-03-06,3933,1017,54,88.0000000000,5.0000000000,5004,21845.8783081400,,,,0.5890909091,,
2026-03-09,1320,3601,87,50.0000000000,9.0000000000,5008,26327.0866364700,,,,-0.4635236740,,
2026-03-10,4163,763,81,71.0000000000,7.0000000000,5007,23842.4380489600,,,,0.6902151847,,
2026-03-11,1832,3056,121,67.0000000000,2.0000000000,5009,24937.7441743200,,,,-0.2504091653,,
2026-03-12,1412,3507,90,64.0000000000,6.0000000000,5009,24280.1112837900,,,,-0.4258995731,,
2026-03-13,1370,3507,132,68.0000000000,22.0000000000,5009,23863.2230089600,,,,-0.4381792085,,
2026-03-16,2656,2226,127,60.0000000000,10.0000000000,5009,23124.6795113100,,,,0.0880786563,,
2026-03-17,777,4163,67,52.0000000000,15.0000000000,5007,21942.0649914900,,,,-0.6854251012,,
2026-03-18,3334,1590,83,70.0000000000,14.0000000000,5007,20331.7537766600,,,,0.3541835906,,
2026-03-19,460,4529,18,36.0000000000,14.0000000000,5007,20971.3922117400,,,,-0.8155943075,,
2026-03-20,585,4400,23,39.0000000000,23.0000000000,5008,22716.3263861600,,,,-0.7652958877,,
2026-03-23,275,4728,6,38.0000000000,133.0000000000,5009,24149.5062237900,,,,-0.8900659604,,
2026-03-24,4721,270,15,100.0000000000,8.0000000000,5006,20679.2392575300,,,,0.8918052494,,
2026-03-25,4466,497,43,105.0000000000,4.0000000000,5006,21628.2560497700,,,,0.7997179126,,
2026-03-26,819,4120,67,51.0000000000,13.0000000000,5006,19306.3712748200,,,,-0.6683539178,,
2026-03-27,4028,919,56,93.0000000000,5.0000000000,5003,18400.9027574700,,,,0.6284616940,,
2026-03-30,2717,2156,128,76.0000000000,16.0000000000,5001,19038.6734972200,,,,0.1151241535,,
2026-03-31,865,4060,78,59.0000000000,17.0000000000,5003,19741.5391694700,,,,-0.6487309645,,
2026-04-01,4111,799,96,65.0000000000,14.0000000000,5006,19970.1766830600,,,,0.6745417515,,
2026-04-02,862,4096,49,32.0000000000,16.0000000000,5007,18300.4394615600,,,,-0.6522791448,,
2026-04-03,670,4316,21,38.0000000000,41.0000000000,5007,16442.1047086000,,,,-0.7312474930,,
