日期,行业层级,一级行业代码,一级行业,指数代码,指数名称,收盘价,成交额,日收益率,20日年化波动率
2026-08-26,一级行业,801170,交通运输,801170,交通运输,2096.89000000,224.88730000,0.00622868,0.12160620
2026-08-26,一级行业,801760,传媒,801760,传媒,662.20000000,250.60410000,-0.00389597,0.32613747
2026-08-26,一级行业,801160,公用事业,801160,公用事业,2468.96000000,380.48980000,0.00923822,0.11608993
2026-08-26,一级行业,801010,农林牧渔,801010,农林牧渔,2509.36000000,257.83150000,0.00101324,0.25893572
2026-08-26,一级行业,801150,医药生物,801150,医药生物,7928.77000000,1355.89260000,0.00111617,0.33492676
2026-08-26,一级行业,801200,商贸零售,801200,商贸零售,1798.00000000,145.93340000,0.00480046,0.20283852
2026-08-26,一级行业,801740,国防军工,801740,国防军工,1597.78000000,335.91200000,0.00310138,0.28135508
2026-08-26,一级行业,801030,基础化工,801030,基础化工,4304.47000000,970.70840000,0.00900362,0.23370819
2026-08-26,一级行业,801110,家用电器,801110,家用电器,8713.72000000,168.57740000,-0.00169902,0.11995471
2026-08-26,一级行业,801710,建筑材料,801710,建筑材料,5840.10000000,180.62570000,0.00762608,0.36288278
2026-08-26,一级行业,801720,建筑装饰,801720,建筑装饰,1966.32000000,251.13490000,0.00538401,0.17556043
2026-08-26,一级行业,801180,房地产,801180,房地产,1890.61000000,138.04440000,0.01220681,0.22363040
2026-08-26,一级行业,801050,有色金属,801050,有色金属,8551.97000000,1464.29690000,0.01846025,0.40177714
2026-08-26,一级行业,801890,机械设备,801890,机械设备,2204.72000000,1444.77200000,-0.00224015,0.39136234
2026-08-26,一级行业,801880,汽车,801880,汽车,6440.28000000,466.11260000,0.00184805,0.22296923
2026-08-26,一级行业,801950,煤炭,801950,煤炭,3414.53000000,120.97600000,0.00250146,0.23517542
2026-08-26,一级行业,801970,环保,801970,环保,1942.13000000,144.72520000,0.01223250,0.21309869
2026-08-26,一级行业,801730,电力设备,801730,电力设备,9325.85000000,1283.68400000,0.00843548,0.24237874
2026-08-26,一级行业,801080,电子,801080,电子,8563.47000000,4217.14480000,0.00674694,0.58083357
2026-08-26,一级行业,801960,石油石化,801960,石油石化,2726.92000000,161.40820000,-0.00133672,0.17303266
2026-08-26,一级行业,801210,社会服务,801210,社会服务,7323.51000000,112.44260000,0.00403478,0.22281476
2026-08-26,一级行业,801130,纺织服饰,801130,纺织服饰,1532.79000000,116.66800000,0.00070509,0.18545317
2026-08-26,一级行业,801230,综合,801230,综合,4192.41000000,29.05190000,-0.00474315,0.39141073
2026-08-26,一级行业,801980,美容护理,801980,美容护理,3489.45000000,43.01670000,0.00794350,0.25437457
2026-08-26,一级行业,801750,计算机,801750,计算机,4350.59000000,836.52330000,0.00072226,0.34423701
2026-08-26,一级行业,801140,轻工制造,801140,轻工制造,2087.73000000,162.08110000,0.00939907,0.21721271
2026-08-26,一级行业,801770,通信,801770,通信,7031.74000000,1435.65180000,-0.00011091,0.64505605
2026-08-26,一级行业,801040,钢铁,801040,钢铁,2229.81000000,76.89080000,0.01244092,0.14545536
2026-08-26,一级行业,801780,银行,801780,银行,4097.67000000,263.16580000,0.00782864,0.18075047
2026-08-26,一级行业,801790,非银金融,801790,非银金融,1782.87000000,589.55150000,0.02486175,0.14869274
2026-08-26,一级行业,801120,食品饮料,801120,食品饮料,13950.13000000,232.28440000,-0.00040485,0.18755688
2026-08-26,二级行业,801170,交通运输,801178,物流,4165.32000000,51.11490000,0.01450398,0.13582071
2026-08-26,二级行业,801170,交通运输,801991,航空机场,2311.32000000,27.47300000,0.00798074,0.14752713
2026-08-26,二级行业,801170,交通运输,801992,航运港口,3507.41000000,103.61450000,-0.00569807,0.20891404
2026-08-26,二级行业,801170,交通运输,801179,铁路公路,1499.86000000,42.68490000,0.01239968,0.13821033
2026-08-26,二级行业,801760,传媒,801769,出版,1358.64000000,27.95200000,-0.01424249,0.25431949
2026-08-26,二级行业,801760,传媒,801765,广告营销,2458.86000000,68.80620000,-0.00340055,0.45122647
2026-08-26,二级行业,801760,传媒,801766,影视院线,1011.53000000,34.12360000,0.00776097,0.39207306
2026-08-26,二级行业,801760,传媒,801767,数字媒体,1514.23000000,20.35690000,-0.01110219,0.35053406
2026-08-26,二级行业,801760,传媒,801764,游戏Ⅱ,2757.78000000,81.59440000,-0.00594749,0.32890561
2026-08-26,二级行业,801760,传媒,801995,电视广播Ⅱ,996.40000000,17.77100000,0.00849182,0.25196783
2026-08-26,二级行业,801160,公用事业,801163,燃气Ⅱ,3158.83000000,36.01150000,-0.00233401,0.20673945
2026-08-26,二级行业,801160,公用事业,801161,电力,3241.35000000,344.47830000,0.01029511,0.11843065
2026-08-26,二级行业,801010,农林牧渔,801017,养殖业,2684.45000000,51.30130000,-0.00277127,0.27406882
2026-08-26,二级行业,801010,农林牧渔,801012,农产品加工,2291.36000000,68.73800000,0.00864099,0.29353415
2026-08-26,二级行业,801010,农林牧渔,801018,动物保健Ⅱ,4374.45000000,5.08670000,-0.00299936,0.28019328
2026-08-26,二级行业,801010,农林牧渔,801015,渔业,728.43000000,4.97840000,0.00663322,0.26638674
2026-08-26,二级行业,801010,农林牧渔,801016,种植业,2515.69000000,100.02740000,0.01056890,0.45977021
2026-08-26,二级行业,801010,农林牧渔,801014,饲料,3517.09000000,19.88290000,-0.00217887,0.24912374
2026-08-26,二级行业,801150,医药生物,801155,中药Ⅱ,5614.29000000,141.71880000,0.00732579,0.20506061
2026-08-26,二级行业,801150,医药生物,801151,化学制药,11526.04000000,451.06150000,0.00324404,0.33792001
2026-08-26,二级行业,801150,医药生物,801153,医疗器械,5836.32000000,194.52470000,0.00221864,0.24867273
2026-08-26,二级行业,801150,医药生物,801156,医疗服务,8409.07000000,302.99550000,-0.01330369,0.56456503
2026-08-26,二级行业,801150,医药生物,801154,医药商业,4633.85000000,49.97500000,-0.00176431,0.23177931
2026-08-26,二级行业,801150,医药生物,801152,生物制品,5713.29000000,215.61720000,0.01599402,0.46056978
2026-08-26,二级行业,801200,商贸零售,801203,一般零售,2749.56000000,91.18740000,0.00222347,0.21768636
2026-08-26,二级行业,801200,商贸零售,801204,专业连锁Ⅱ,3556.03000000,6.84780000,0.00406025,0.23448048
2026-08-26,二级行业,801200,商贸零售,801206,互联网电商,9791.33000000,24.74500000,0.00460269,0.29519980
2026-08-26,二级行业,801200,商贸零售,801202,贸易Ⅱ,4197.44000000,12.74120000,0.01456548,0.20197463
2026-08-26,二级行业,801740,国防军工,801745,军工电子Ⅱ,5721.80000000,116.54830000,-0.00428614,0.38968340
2026-08-26,二级行业,801740,国防军工,801743,地面兵装Ⅱ,14502.67000000,30.48280000,-0.00894925,0.32706703
2026-08-26,二级行业,801740,国防军工,801741,航天装备Ⅱ,23321.28000000,25.84240000,0.00054701,0.53546521
2026-08-26,二级行业,801740,国防军工,801744,航海装备Ⅱ,3146.79000000,44.97300000,0.00228691,0.21594914
2026-08-26,二级行业,801740,国防军工,801742,航空装备Ⅱ,8150.05000000,118.06540000,0.01240845,0.23038686
2026-08-26,二级行业,801030,基础化工,801038,农化制品,5117.29000000,174.87500000,0.02271346,0.25487379
2026-08-26,二级行业,801030,基础化工,801034,化学制品,6434.05000000,334.31770000,0.00572889,0.22057464
2026-08-26,二级行业,801030,基础化工,801033,化学原料,3332.97000000,187.72580000,0.00963907,0.18595451
2026-08-26,二级行业,801030,基础化工,801032,化学纤维,4475.66000000,29.12250000,0.00358322,0.19742879
2026-08-26,二级行业,801030,基础化工,801036,塑料,4777.78000000,170.24220000,-0.00185724,0.44860079
2026-08-26,二级行业,801030,基础化工,801037,橡胶,4675.15000000,20.74940000,0.00136224,0.35219934
2026-08-26,二级行业,801030,基础化工,801039,非金属材料Ⅱ,6226.23000000,53.67580000,0.01998447,0.63599678
2026-08-26,二级行业,801110,家用电器,801114,厨卫电器,7987.73000000,7.39190000,-0.00412055,0.24909683
2026-08-26,二级行业,801110,家用电器,801116,家电零部件Ⅱ,6296.12000000,47.88030000,0.00098730,0.35593180
2026-08-26,二级行业,801110,家用电器,801113,小家电,4272.07000000,32.43400000,-0.01344255,0.39269415
2026-08-26,二级行业,801110,家用电器,801115,照明设备Ⅱ,4449.96000000,13.17680000,0.00117893,0.35015836
2026-08-26,二级行业,801110,家用电器,801111,白色家电,19652.49000000,46.69140000,-0.00333801,0.18698728
2026-08-26,二级行业,801110,家用电器,801112,黑色家电,1931.71000000,17.48090000,0.01711773,0.22714641
2026-08-26,二级行业,801710,建筑材料,801711,水泥,4053.81000000,23.82970000,0.02024992,0.17315631
2026-08-26,二级行业,801710,建筑材料,801712,玻璃玻纤,18997.17000000,120.99220000,-0.00053821,0.71515530
2026-08-26,二级行业,801710,建筑材料,801713,装修建材,4410.46000000,35.80380000,0.01049569,0.17859157
2026-08-26,二级行业,801720,建筑装饰,801724,专业工程,1770.80000000,61.39250000,0.00390609,0.26108080
2026-08-26,二级行业,801720,建筑装饰,801723,基础建设,2074.50000000,47.81410000,0.01040358,0.13841239
2026-08-26,二级行业,801720,建筑装饰,801726,工程咨询服务Ⅱ,2190.68000000,63.80090000,-0.00356150,0.36178673
2026-08-26,二级行业,801720,建筑装饰,801721,房屋建设Ⅱ,2814.00000000,19.96840000,0.00098533,0.13997102
2026-08-26,二级行业,801720,建筑装饰,801722,装修装饰Ⅱ,4324.34000000,58.15900000,0.00961440,0.35021431
2026-08-26,二级行业,801180,房地产,801181,房地产开发,2183.65000000,125.16370000,0.01265559,0.22466074
2026-08-26,二级行业,801180,房地产,801183,房地产服务,769.91000000,12.88070000,0.00511756,0.27589063
2026-08-26,二级行业,801050,有色金属,801054,小金属,36425.74000000,289.94350000,0.00321380,0.51487041
2026-08-26,二级行业,801050,有色金属,801055,工业金属,3500.65000000,735.33210000,0.03335341,0.40455288
2026-08-26,二级行业,801050,有色金属,801056,能源金属,16646.92000000,129.28900000,0.01327792,0.40747541
2026-08-26,二级行业,801050,有色金属,801053,贵金属,28880.32000000,241.13600000,-0.00648632,0.55167356
2026-08-26,二级行业,801050,有色金属,801051,金属新材料,9157.48000000,68.59640000,-0.00566255,0.42020710
2026-08-26,二级行业,801890,机械设备,801074,专用设备,11689.30000000,381.34090000,-0.00202424,0.39063721
2026-08-26,二级行业,801890,机械设备,801077,工程机械,21291.05000000,65.63380000,-0.00825775,0.15481409
2026-08-26,二级行业,801890,机械设备,801078,自动化设备,20097.92000000,411.00580000,-0.00041181,0.52960636
2026-08-26,二级行业,801890,机械设备,801076,轨交设备Ⅱ,5842.90000000,33.42040000,0.00688790,0.15498890
2026-08-26,二级行业,801890,机械设备,801072,通用设备,7861.68000000,553.37120000,-0.00293096,0.49535922
2026-08-26,二级行业,801880,汽车,801095,乘用车,14374.67000000,45.95550000,0.00694405,0.21435327
2026-08-26,二级行业,801880,汽车,801096,商用车,6548.94000000,30.55440000,0.00566334,0.28191603
2026-08-26,二级行业,801880,汽车,801881,摩托车及其他,3465.69000000,16.24330000,0.00376227,0.17716962
2026-08-26,二级行业,801880,汽车,801092,汽车服务,445.78000000,6.50470000,0.01311334,0.21962739
2026-08-26,二级行业,801880,汽车,801093,汽车零部件,7107.59000000,366.85470000,-0.00053998,0.30373591
2026-08-26,二级行业,801950,煤炭,801952,焦炭Ⅱ,1217.84000000,16.78630000,0.00282442,0.40340499
2026-08-26,二级行业,801950,煤炭,801951,煤炭开采,3915.91000000,104.18970000,0.00248066,0.24239756
2026-08-26,二级行业,801970,环保,801972,环保设备Ⅱ,2110.22000000,30.91470000,0.01578393,0.34462112
2026-08-26,二级行业,801970,环保,801971,环境治理,1888.24000000,113.81060000,0.01132237,0.18938011
2026-08-26,二级行业,801730,电力设备,801735,光伏设备,5510.84000000,227.33890000,0.01083872,0.30944245
2026-08-26,二级行业,801730,电力设备,801733,其他电源设备Ⅱ,38229.68000000,122.22680000,0.00967692,0.42449271
