rank,stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,sw_level1,sw_level2,sw_level2_code
1,300308,中际旭创,1001.0300000000,943.0000000000,35274048365.0000000000,36325660.0000000000,0.0615400000,352.7404836500,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
2,688825,长鑫科技,61.8000000000,55.1800000000,33518442992.0000000000,566136754.0000000000,0.1199700000,335.1844299200,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
3,300502,新易盛,466.6800000000,448.0800000000,26567747642.0000000000,58965311.0000000000,0.0415100000,265.6774764200,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
4,603986,兆易创新,444.0000000000,417.4800000000,25709784052.0000000000,58882572.0000000000,0.0635200000,257.0978405200,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
5,600487,亨通光电,65.0600000000,62.9800000000,19242714010.0000000000,298765151.0000000000,0.0330300000,192.4271401000,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
6,300394,天孚通信,286.5600000000,267.7100000000,17899142474.0000000000,63159304.0000000000,0.0704100000,178.9914247400,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
7,688256,寒武纪,1156.0000000000,1093.0000000000,15838555864.0000000000,13999152.0000000000,0.0576400000,158.3855586400,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
8,600584,长电科技,85.8500000000,78.7100000000,15827066973.0000000000,191158336.0000000000,0.0907100000,158.2706697300,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
9,002384,东山精密,217.6600000000,205.1900000000,15618339967.0000000000,72868436.0000000000,0.0607700000,156.1833996700,AKShare stock_zh_a_spot / 新浪,电子,元件,801083
10,000725,京东方Ａ,6.0800000000,5.8100000000,13048564708.0000000000,2192358638.0000000000,0.0464700000,130.4856470800,AKShare stock_zh_a_spot / 新浪,电子,光学光电子,801084
11,600522,中天科技,35.9000000000,35.5500000000,12695870163.0000000000,356320256.0000000000,0.0098500000,126.9587016300,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
12,600176,中国巨石,46.3200000000,44.3900000000,12663106203.0000000000,274595054.0000000000,0.0434800000,126.6310620300,AKShare stock_zh_a_spot / 新浪,建筑材料,玻璃玻纤,801712
13,002428,云南锗业,109.6500000000,101.5900000000,11760522040.0000000000,109482056.0000000000,0.0793400000,117.6052204000,AKShare stock_zh_a_spot / 新浪,有色金属,小金属,801054
14,603259,药明康德,166.8900000000,159.2400000000,11365474114.0000000000,68943301.0000000000,0.0480400000,113.6547411400,AKShare stock_zh_a_spot / 新浪,医药生物,医疗服务,801156
15,688008,澜起科技,224.3700000000,211.9100000000,11298363669.0000000000,51651699.0000000000,0.0588000000,112.9836366900,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
16,300476,胜宏科技,276.0000000000,269.3300000000,11271449609.0000000000,41568518.0000000000,0.0247700000,112.7144960900,AKShare stock_zh_a_spot / 新浪,电子,元件,801083
17,000938,紫光股份,41.0300000000,39.9500000000,10973974624.0000000000,270480374.0000000000,0.0270300000,109.7397462400,AKShare stock_zh_a_spot / 新浪,计算机,IT服务Ⅱ,801103
18,600183,生益科技,144.4900000000,143.2100000000,10971906097.0000000000,76221739.0000000000,0.0089400000,109.7190609700,AKShare stock_zh_a_spot / 新浪,电子,元件,801083
19,601138,工业富联,68.2300000000,66.1900000000,10932733891.0000000000,161554346.0000000000,0.0308200000,109.3273389100,AKShare stock_zh_a_spot / 新浪,电子,消费电子,801085
20,603629,利通电子,142.8400000000,137.5000000000,10607242653.0000000000,75937625.0000000000,0.0388400000,106.0724265300,AKShare stock_zh_a_spot / 新浪,电子,消费电子,801085
21,600519,贵州茅台,1293.0900000000,1341.9900000000,10114852172.0000000000,7842956.0000000000,-0.0364400000,101.1485217200,AKShare stock_zh_a_spot / 新浪,食品饮料,白酒Ⅱ,801125
