日期,行业层级,一级行业代码,一级行业,指数代码,指数名称,收盘价,成交额,日收益率,20日年化波动率
2026-08-19,一级行业,801170,交通运输,801170,交通运输,2062.71000000,231.56930000,-0.00196925,0.15099902
2026-08-19,一级行业,801760,传媒,801760,传媒,663.73000000,364.57720000,-0.03597676,0.38651087
2026-08-19,一级行业,801160,公用事业,801160,公用事业,2435.61000000,412.54000000,-0.01255985,0.17895537
2026-08-19,一级行业,801010,农林牧渔,801010,农林牧渔,2476.53000000,386.95940000,-0.02497283,0.26462597
2026-08-19,一级行业,801150,医药生物,801150,医药生物,8003.15000000,1475.17850000,-0.02531360,0.28781798
2026-08-19,一级行业,801200,商贸零售,801200,商贸零售,1751.24000000,153.17800000,-0.03476785,0.25237138
2026-08-19,一级行业,801740,国防军工,801740,国防军工,1599.59000000,694.80640000,-0.05179701,0.33775733
2026-08-19,一级行业,801030,基础化工,801030,基础化工,4299.62000000,1321.66400000,-0.03407761,0.28894824
2026-08-19,一级行业,801110,家用电器,801110,家用电器,8618.45000000,257.42110000,-0.00573478,0.15027967
2026-08-19,一级行业,801710,建筑材料,801710,建筑材料,5915.08000000,316.36600000,-0.05091458,0.46055140
2026-08-19,一级行业,801720,建筑装饰,801720,建筑装饰,1919.70000000,301.66320000,-0.03047413,0.19596839
2026-08-19,一级行业,801180,房地产,801180,房地产,1867.19000000,178.36190000,-0.01981690,0.19572339
2026-08-19,一级行业,801050,有色金属,801050,有色金属,8264.93000000,1353.01830000,-0.03635193,0.45587876
2026-08-19,一级行业,801890,机械设备,801890,机械设备,2183.97000000,1829.38890000,-0.06619662,0.46672952
2026-08-19,一级行业,801880,汽车,801880,汽车,6336.06000000,629.01640000,-0.04200270,0.26424760
2026-08-19,一级行业,801950,煤炭,801950,煤炭,3323.06000000,161.82870000,0.00598494,0.27513492
2026-08-19,一级行业,801970,环保,801970,环保,1895.48000000,155.71820000,-0.02727058,0.24950938
2026-08-19,一级行业,801730,电力设备,801730,电力设备,9393.91000000,1754.14340000,-0.04056937,0.34873802
2026-08-19,一级行业,801080,电子,801080,电子,8669.36000000,7561.40030000,-0.07857655,0.73265610
2026-08-19,一级行业,801960,石油石化,801960,石油石化,2719.25000000,218.70750000,0.01103522,0.25832545
2026-08-19,一级行业,801210,社会服务,801210,社会服务,7125.44000000,106.49520000,-0.03189850,0.27516248
2026-08-19,一级行业,801130,纺织服饰,801130,纺织服饰,1510.17000000,111.58110000,-0.03028883,0.24255533
2026-08-19,一级行业,801230,综合,801230,综合,4332.58000000,53.20750000,-0.03949046,0.52598407
2026-08-19,一级行业,801980,美容护理,801980,美容护理,3350.06000000,29.40050000,-0.02832597,0.29033430
2026-08-19,一级行业,801750,计算机,801750,计算机,4356.83000000,1275.12520000,-0.05499547,0.39025611
2026-08-19,一级行业,801140,轻工制造,801140,轻工制造,2024.96000000,149.90560000,-0.03190243,0.23089090
2026-08-19,一级行业,801770,通信,801770,通信,7093.64000000,1999.30310000,-0.07937097,0.84514564
2026-08-19,一级行业,801040,钢铁,801040,钢铁,2167.73000000,68.95560000,-0.01575979,0.21168350
2026-08-19,一级行业,801780,银行,801780,银行,4025.90000000,375.04840000,0.01607949,0.19843838
2026-08-19,一级行业,801790,非银金融,801790,非银金融,1707.80000000,355.49290000,-0.00954038,0.13841947
2026-08-19,一级行业,801120,食品饮料,801120,食品饮料,13982.00000000,314.70090000,-0.00933136,0.20521007
2026-08-19,二级行业,801170,交通运输,801178,物流,4110.06000000,45.69520000,-0.01408093,0.17191533
2026-08-19,二级行业,801170,交通运输,801991,航空机场,2266.83000000,22.58900000,-0.00767827,0.17887047
2026-08-19,二级行业,801170,交通运输,801992,航运港口,3450.85000000,125.19050000,0.01026114,0.20990666
2026-08-19,二级行业,801170,交通运输,801179,铁路公路,1473.00000000,38.09450000,0.00002716,0.14026196
2026-08-19,二级行业,801760,传媒,801769,出版,1381.27000000,35.71240000,-0.02274625,0.28681097
2026-08-19,二级行业,801760,传媒,801765,广告营销,2485.65000000,125.72340000,-0.04462748,0.49374478
2026-08-19,二级行业,801760,传媒,801766,影视院线,989.10000000,42.98830000,-0.04123531,0.44042560
2026-08-19,二级行业,801760,传媒,801767,数字媒体,1536.59000000,27.87990000,-0.03964325,0.39004431
2026-08-19,二级行业,801760,传媒,801764,游戏Ⅱ,2776.58000000,112.60640000,-0.03377934,0.43408841
2026-08-19,二级行业,801760,传媒,801995,电视广播Ⅱ,955.41000000,19.66680000,-0.02657184,0.26118240
2026-08-19,二级行业,801160,公用事业,801163,燃气Ⅱ,3128.28000000,54.39260000,-0.02688578,0.25256910
2026-08-19,二级行业,801160,公用事业,801161,电力,3196.44000000,358.14750000,-0.01123804,0.17853145
2026-08-19,二级行业,801010,农林牧渔,801017,养殖业,2632.75000000,84.29450000,-0.02594279,0.27945236
2024-06-17,二级行业,801010,农林牧渔,801019,农业综合Ⅱ,1017.95000000,1.25278231,-0.01778305,0.27895502
2026-08-19,二级行业,801010,农林牧渔,801012,农产品加工,2238.37000000,65.89920000,-0.01585019,0.27307758
