stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source
920000,安徽凤凰,13.6500000000,14.1600000000,17656721.0000000000,1270350.0000000000,-0.0360200000,0.1765672100,AKShare stock_zh_a_spot / 新浪
920001,纬达光电,11.8100000000,12.1900000000,20340656.0000000000,1713185.0000000000,-0.0311700000,0.2034065600,AKShare stock_zh_a_spot / 新浪
920002,万达轴承,55.0200000000,62.1200000000,164336383.0000000000,2887351.0000000000,-0.1142900000,1.6433638300,AKShare stock_zh_a_spot / 新浪
920003,中诚咨询,16.4300000000,16.9500000000,6290767.0000000000,379098.0000000000,-0.0306800000,0.0629076700,AKShare stock_zh_a_spot / 新浪
920005,鼎佳精密,23.5000000000,25.0000000000,17848120.0000000000,739757.0000000000,-0.0600000000,0.1784812000,AKShare stock_zh_a_spot / 新浪
920006,晟楠科技,16.1400000000,16.6400000000,36054272.0000000000,2149757.0000000000,-0.0300500000,0.3605427200,AKShare stock_zh_a_spot / 新浪
920007,酉立智能,36.3300000000,37.3700000000,6574155.0000000000,179650.0000000000,-0.0278300000,0.0657415500,AKShare stock_zh_a_spot / 新浪
920008,成电光信,19.2400000000,20.1300000000,14181872.0000000000,726144.0000000000,-0.0442100000,0.1418187200,AKShare stock_zh_a_spot / 新浪
920009,丹娜生物,35.2200000000,36.7100000000,9234495.0000000000,258160.0000000000,-0.0405900000,0.0923449500,AKShare stock_zh_a_spot / 新浪
920010,凯添燃气,8.4900000000,8.6300000000,69844468.0000000000,8064055.0000000000,-0.0162200000,0.6984446800,AKShare stock_zh_a_spot / 新浪
920011,晨光电机,19.2000000000,20.3900000000,28568080.0000000000,1474006.0000000000,-0.0583600000,0.2856808000,AKShare stock_zh_a_spot / 新浪
920012,创达新材,58.5000000000,56.7900000000,172535120.0000000000,2982993.0000000000,0.0301100000,1.7253512000,AKShare stock_zh_a_spot / 新浪
920014,特瑞斯,8.7000000000,8.9400000000,17901105.0000000000,2026831.0000000000,-0.0268500000,0.1790110500,AKShare stock_zh_a_spot / 新浪
920015,锦华新材,39.7100000000,42.6200000000,91357273.0000000000,2250527.0000000000,-0.0682800000,0.9135727300,AKShare stock_zh_a_spot / 新浪
920016,中草香料,12.7500000000,13.2100000000,10441811.0000000000,808245.0000000000,-0.0348200000,0.1044181100,AKShare stock_zh_a_spot / 新浪
920017,星昊医药,16.7500000000,17.3600000000,49565807.0000000000,2899213.0000000000,-0.0351400000,0.4956580700,AKShare stock_zh_a_spot / 新浪
920018,宏远股份,14.8100000000,15.5600000000,24695490.0000000000,1642062.0000000000,-0.0482000000,0.2469549000,AKShare stock_zh_a_spot / 新浪
920019,铜冠矿建,14.4600000000,14.9800000000,26933537.0000000000,1844003.0000000000,-0.0347100000,0.2693353700,AKShare stock_zh_a_spot / 新浪
920020,泰凯英,15.1900000000,15.5900000000,4827412.0000000000,315845.0000000000,-0.0256600000,0.0482741200,AKShare stock_zh_a_spot / 新浪
920021,流金科技,6.5100000000,6.8700000000,75172926.0000000000,11361161.0000000000,-0.0524000000,0.7517292600,AKShare stock_zh_a_spot / 新浪
920022,世昌股份,19.1800000000,19.7600000000,2867384.0000000000,148760.0000000000,-0.0293500000,0.0286738400,AKShare stock_zh_a_spot / 新浪
920026,卓兆点胶,18.8100000000,19.1400000000,40758346.0000000000,2152978.0000000000,-0.0172400000,0.4075834600,AKShare stock_zh_a_spot / 新浪
920027,交大铁发,11.5000000000,11.7100000000,11164935.0000000000,966316.0000000000,-0.0179300000,0.1116493500,AKShare stock_zh_a_spot / 新浪
920028,新恒泰,14.1200000000,13.9500000000,31917579.0000000000,2240710.0000000000,0.0121900000,0.3191757900,AKShare stock_zh_a_spot / 新浪
920029,开发科技,34.7600000000,35.8400000000,33935636.0000000000,966340.0000000000,-0.0301300000,0.3393563600,AKShare stock_zh_a_spot / 新浪
920030,德众汽车,4.3700000000,4.5300000000,5859293.0000000000,1319670.0000000000,-0.0353200000,0.0585929300,AKShare stock_zh_a_spot / 新浪
920033,康普化学,14.0300000000,14.5600000000,8660681.0000000000,611896.0000000000,-0.0364000000,0.0866068100,AKShare stock_zh_a_spot / 新浪
920035,精创电气,23.4500000000,25.1700000000,23504864.0000000000,981315.0000000000,-0.0683400000,0.2350486400,AKShare stock_zh_a_spot / 新浪
920036,觅睿科技,28.7100000000,30.6800000000,17522703.0000000000,595211.0000000000,-0.0642100000,0.1752270300,AKShare stock_zh_a_spot / 新浪
920037,广信科技,39.7500000000,41.5100000000,34164815.0000000000,850505.0000000000,-0.0424000000,0.3416481500,AKShare stock_zh_a_spot / 新浪
920038,森合高科,35.2000000000,38.0700000000,135351796.0000000000,3727976.0000000000,-0.0753900000,1.3535179600,AKShare stock_zh_a_spot / 新浪
920039,国义招标,8.8800000000,9.1200000000,18296029.0000000000,2058573.0000000000,-0.0263200000,0.1829602900,AKShare stock_zh_a_spot / 新浪
920045,蘅东光,344.0000000000,377.4000000000,505779247.0000000000,1451457.0000000000,-0.0885000000,5.0577924700,AKShare stock_zh_a_spot / 新浪
920046,亿能电力,20.0200000000,21.5300000000,88542921.0000000000,4315834.0000000000,-0.0701300000,0.8854292100,AKShare stock_zh_a_spot / 新浪
920047,诺思兰德,16.9400000000,17.7900000000,72295856.0000000000,4199868.0000000000,-0.0477800000,0.7229585600,AKShare stock_zh_a_spot / 新浪
920050,爱伦医疗,28.9300000000,29.7700000000,9548603.0000000000,326143.0000000000,-0.0282200000,0.0954860300,AKShare stock_zh_a_spot / 新浪
920055,隆源股份,26.3700000000,27.3600000000,10349830.0000000000,389273.0000000000,-0.0361800000,0.1034983000,AKShare stock_zh_a_spot / 新浪
920056,能之光,16.1000000000,16.7100000000,6514135.0000000000,398712.0000000000,-0.0365100000,0.0651413500,AKShare stock_zh_a_spot / 新浪
920057,百甲科技,4.8700000000,5.0200000000,4807336.0000000000,975039.0000000000,-0.0298800000,0.0480733600,AKShare stock_zh_a_spot / 新浪
920058,华洋赛车,28.8000000000,28.9800000000,41035855.0000000000,1426795.0000000000,-0.0062100000,0.4103585500,AKShare stock_zh_a_spot / 新浪
920060,万源通,21.4600000000,23.0300000000,47209049.0000000000,2140861.0000000000,-0.0681700000,0.4720904900,AKShare stock_zh_a_spot / 新浪
920061,西磁科技,17.2300000000,18.2700000000,16653082.0000000000,948930.0000000000,-0.0569200000,0.1665308200,AKShare stock_zh_a_spot / 新浪
920062,科润智控,7.3200000000,7.7100000000,15576483.0000000000,2097870.0000000000,-0.0505800000,0.1557648300,AKShare stock_zh_a_spot / 新浪
920065,千岸科技,33.4500000000,35.6200000000,73496050.0000000000,2164245.0000000000,-0.0609200000,0.7349605000,AKShare stock_zh_a_spot / 新浪
920066,科拜尔,16.5600000000,17.1600000000,6204861.0000000000,370548.0000000000,-0.0349700000,0.0620486100,AKShare stock_zh_a_spot / 新浪
920068,天工股份,15.0600000000,15.2900000000,16220809.0000000000,1074923.0000000000,-0.0150400000,0.1622080900,AKShare stock_zh_a_spot / 新浪
920069,普昂医疗,32.9500000000,34.2900000000,13941973.0000000000,416639.0000000000,-0.0390800000,0.1394197300,AKShare stock_zh_a_spot / 新浪
920072,科莱瑞迪,25.4000000000,27.0500000000,44466977.0000000000,1718527.0000000000,-0.0610000000,0.4446697700,AKShare stock_zh_a_spot / 新浪
920075,柏星龙,15.1300000000,15.8600000000,12696165.0000000000,828211.0000000000,-0.0460300000,0.1269616500,AKShare stock_zh_a_spot / 新浪
920076,国亮新材,12.6700000000,13.1000000000,7030371.0000000000,549255.0000000000,-0.0328200000,0.0703037100,AKShare stock_zh_a_spot / 新浪
920077,吉林碳谷,14.0100000000,14.6300000000,46541670.0000000000,3278061.0000000000,-0.0423800000,0.4654167000,AKShare stock_zh_a_spot / 新浪
920078,族兴新材,18.0000000000,19.3000000000,37240492.0000000000,2022798.0000000000,-0.0673600000,0.3724049200,AKShare stock_zh_a_spot / 新浪
920079,乔路铭,13.9100000000,14.0800000000,77926639.0000000000,5547463.0000000000,-0.0120700000,0.7792663900,AKShare stock_zh_a_spot / 新浪
920080,奥美森,21.4200000000,21.7600000000,10116538.0000000000,468753.0000000000,-0.0156300000,0.1011653800,AKShare stock_zh_a_spot / 新浪
920081,欧伦电气,40.9000000000,41.8100000000,62943495.0000000000,1533072.0000000000,-0.0217700000,0.6294349500,AKShare stock_zh_a_spot / 新浪
920082,方正阀门,8.0800000000,8.3800000000,7578290.0000000000,927128.0000000000,-0.0358000000,0.0757829000,AKShare stock_zh_a_spot / 新浪
920083,金戈新材,42.0200000000,38.9500000000,434976396.0000000000,10365487.0000000000,0.0788200000,4.3497639600,AKShare stock_zh_a_spot / 新浪
920086,科马材料,20.5000000000,21.2200000000,11129403.0000000000,537095.0000000000,-0.0339300000,0.1112940300,AKShare stock_zh_a_spot / 新浪
920087,秋乐种业,16.2000000000,15.6100000000,601261581.0000000000,36582392.0000000000,0.0378000000,6.0126158100,AKShare stock_zh_a_spot / 新浪
