stock_code,sw_level1,sw_level2,sw_level2_code
000998,农林牧渔,种植业,801016
002041,农林牧渔,种植业,801016
002772,农林牧渔,种植业,801016
300087,农林牧渔,种植业,801016
300189,农林牧渔,种植业,801016
300511,农林牧渔,种植业,801016
300970,农林牧渔,种植业,801016
600108,农林牧渔,种植业,801016
600313,农林牧渔,种植业,801016
600354,农林牧渔,种植业,801016
600359,农林牧渔,种植业,801016
600371,农林牧渔,种植业,801016
600540,农林牧渔,种植业,801016
600598,农林牧渔,种植业,801016
601118,农林牧渔,种植业,801016
601952,农林牧渔,种植业,801016
603336,农林牧渔,种植业,801016
600883,农林牧渔,种植业,801016
002215,农林牧渔,种植业,801016
000713,农林牧渔,种植业,801016
002069,农林牧渔,渔业,801015
300094,农林牧渔,渔业,801015
600097,农林牧渔,渔业,801015
600257,农林牧渔,渔业,801015
600467,农林牧渔,渔业,801015
000798,农林牧渔,渔业,801015
002679,农林牧渔,林业Ⅱ,801011
600265,农林牧渔,林业Ⅱ,801011
000663,农林牧渔,林业Ⅱ,801011
000592,农林牧渔,林业Ⅱ,801011
002100,农林牧渔,饲料,801014
002311,农林牧渔,饲料,801014
002385,农林牧渔,饲料,801014
002548,农林牧渔,饲料,801014
002567,农林牧渔,饲料,801014
002891,农林牧渔,饲料,801014
300673,农林牧渔,饲料,801014
603363,农林牧渔,饲料,801014
603609,农林牧渔,饲料,801014
603668,农林牧渔,饲料,801014
001313,农林牧渔,饲料,801014
002696,农林牧渔,饲料,801014
603151,农林牧渔,饲料,801014
001366,农林牧渔,饲料,801014
301498,农林牧渔,饲料,801014
688156,农林牧渔,饲料,801014
000876,农林牧渔,饲料,801014
000702,农林牧渔,饲料,801014
000505,农林牧渔,农产品加工,801012
000911,农林牧渔,农产品加工,801012
000930,农林牧渔,农产品加工,801012
000972,农林牧渔,农产品加工,801012
002286,农林牧渔,农产品加工,801012
002481,农林牧渔,农产品加工,801012
002852,农林牧渔,农产品加工,801012
003030,农林牧渔,农产品加工,801012
300138,农林牧渔,农产品加工,801012
300175,农林牧渔,农产品加工,801012
300268,农林牧渔,农产品加工,801012
300999,农林牧渔,农产品加工,801012
600127,农林牧渔,农产品加工,801012
600191,农林牧渔,农产品加工,801012
600251,农林牧渔,农产品加工,801012
600737,农林牧渔,农产品加工,801012
600962,农林牧渔,农产品加工,801012
605198,农林牧渔,农产品加工,801012
603182,农林牧渔,农产品加工,801012
001338,农林牧渔,农产品加工,801012
603231,农林牧渔,农产品加工,801012
002086,农林牧渔,农产品加工,801012
000019,农林牧渔,农产品加工,801012
001201,农林牧渔,养殖业,801017
002124,农林牧渔,养殖业,801017
002157,农林牧渔,养殖业,801017
002234,农林牧渔,养殖业,801017
002299,农林牧渔,养殖业,801017
002321,农林牧渔,养殖业,801017
002458,农林牧渔,养殖业,801017
002714,农林牧渔,养殖业,801017
002746,农林牧渔,养殖业,801017
002982,农林牧渔,养殖业,801017
300313,农林牧渔,养殖业,801017
300498,农林牧渔,养殖业,801017
300761,农林牧渔,养殖业,801017
300967,农林牧渔,养殖业,801017
600965,农林牧渔,养殖业,801017
600975,农林牧渔,养殖业,801017
605296,农林牧渔,养殖业,801017
301116,农林牧渔,养殖业,801017
603477,农林牧渔,养殖业,801017
000048,农林牧渔,养殖业,801017
603717,农林牧渔,养殖业,801017
000735,农林牧渔,养殖业,801017
002868,农林牧渔,动物保健Ⅱ,801018
300119,农林牧渔,动物保健Ⅱ,801018
300871,农林牧渔,动物保健Ⅱ,801018
600195,农林牧渔,动物保健Ⅱ,801018
600201,农林牧渔,动物保健Ⅱ,801018
603566,农林牧渔,动物保健Ⅱ,801018
688098,农林牧渔,动物保健Ⅱ,801018
688526,农林牧渔,动物保健Ⅱ,801018
002688,农林牧渔,动物保健Ⅱ,801018
300021,农林牧渔,农业综合Ⅱ,801019
002556,农林牧渔,农业综合Ⅱ,801019
000545,基础化工,化学原料,801033
000635,基础化工,化学原料,801033
000683,基础化工,化学原料,801033
000707,基础化工,化学原料,801033
000818,基础化工,化学原料,801033
000822,基础化工,化学原料,801033
000830,基础化工,化学原料,801033
000990,基础化工,化学原料,801033
001217,基础化工,化学原料,801033
002092,基础化工,化学原料,801033
002109,基础化工,化学原料,801033
002136,基础化工,化学原料,801033
002145,基础化工,化学原料,801033
002386,基础化工,化学原料,801033
002601,基础化工,化学原料,801033
002748,基础化工,化学原料,801033
003017,基础化工,化学原料,801033
300082,基础化工,化学原料,801033
300891,基础化工,化学原料,801033
300927,基础化工,化学原料,801033
