stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source
920000,安徽凤凰,13.5400000000,13.6500000000,9243639.0000000000,675640.0000000000,-0.0080600000,0.0924363900,AKShare stock_zh_a_spot / 新浪
920001,纬达光电,11.7800000000,11.8100000000,14271962.0000000000,1211503.0000000000,-0.0025400000,0.1427196200,AKShare stock_zh_a_spot / 新浪
920002,万达轴承,53.4600000000,55.0200000000,78738715.0000000000,1455353.0000000000,-0.0283500000,0.7873871500,AKShare stock_zh_a_spot / 新浪
920003,中诚咨询,16.8900000000,16.4300000000,7505443.0000000000,447590.0000000000,0.0280000000,0.0750544300,AKShare stock_zh_a_spot / 新浪
920005,鼎佳精密,23.6300000000,23.5000000000,4779538.0000000000,202174.0000000000,0.0055300000,0.0477953800,AKShare stock_zh_a_spot / 新浪
920006,晟楠科技,15.3700000000,16.1400000000,27053118.0000000000,1725277.0000000000,-0.0477100000,0.2705311800,AKShare stock_zh_a_spot / 新浪
920007,酉立智能,33.3600000000,36.3300000000,32929763.0000000000,972920.0000000000,-0.0817500000,0.3292976300,AKShare stock_zh_a_spot / 新浪
920008,成电光信,18.9800000000,19.2400000000,9145202.0000000000,477786.0000000000,-0.0135100000,0.0914520200,AKShare stock_zh_a_spot / 新浪
920009,丹娜生物,39.7300000000,35.2200000000,66678806.0000000000,1672228.0000000000,0.1280500000,0.6667880600,AKShare stock_zh_a_spot / 新浪
920010,凯添燃气,8.3500000000,8.4900000000,38195140.0000000000,4544598.0000000000,-0.0164900000,0.3819514000,AKShare stock_zh_a_spot / 新浪
920011,晨光电机,19.2000000000,19.2000000000,15576822.0000000000,808293.0000000000,0.0000000000,0.1557682200,AKShare stock_zh_a_spot / 新浪
920012,创达新材,56.2400000000,58.5000000000,127752330.0000000000,2305457.0000000000,-0.0386300000,1.2775233000,AKShare stock_zh_a_spot / 新浪
920014,特瑞斯,8.7500000000,8.7000000000,8991506.0000000000,1026154.0000000000,0.0057500000,0.0899150600,AKShare stock_zh_a_spot / 新浪
920015,锦华新材,39.3300000000,39.7100000000,56888850.0000000000,1436727.0000000000,-0.0095700000,0.5688885000,AKShare stock_zh_a_spot / 新浪
920016,中草香料,13.0100000000,12.7500000000,7492886.0000000000,577049.0000000000,0.0203900000,0.0749288600,AKShare stock_zh_a_spot / 新浪
920017,星昊医药,17.2900000000,16.7500000000,86465895.0000000000,4935894.0000000000,0.0322400000,0.8646589500,AKShare stock_zh_a_spot / 新浪
920018,宏远股份,14.9500000000,14.8100000000,10229595.0000000000,684398.0000000000,0.0094500000,0.1022959500,AKShare stock_zh_a_spot / 新浪
920019,铜冠矿建,14.6400000000,14.4600000000,19493242.0000000000,1328256.0000000000,0.0124500000,0.1949324200,AKShare stock_zh_a_spot / 新浪
920020,泰凯英,15.3200000000,15.1900000000,3970534.0000000000,259250.0000000000,0.0085600000,0.0397053400,AKShare stock_zh_a_spot / 新浪
920021,流金科技,6.5100000000,6.5100000000,45061331.0000000000,6861680.0000000000,0.0000000000,0.4506133100,AKShare stock_zh_a_spot / 新浪
920022,世昌股份,19.1200000000,19.1800000000,2764505.0000000000,144196.0000000000,-0.0031300000,0.0276450500,AKShare stock_zh_a_spot / 新浪
920026,卓兆点胶,20.4400000000,18.8100000000,100778660.0000000000,4952194.0000000000,0.0866600000,1.0077866000,AKShare stock_zh_a_spot / 新浪
920027,交大铁发,11.6300000000,11.5000000000,7381163.0000000000,636796.0000000000,0.0113000000,0.0738116300,AKShare stock_zh_a_spot / 新浪
920028,新恒泰,14.3000000000,14.1200000000,22229818.0000000000,1560805.0000000000,0.0127500000,0.2222981800,AKShare stock_zh_a_spot / 新浪
920029,开发科技,35.1000000000,34.7600000000,16530410.0000000000,469872.0000000000,0.0097800000,0.1653041000,AKShare stock_zh_a_spot / 新浪
920030,德众汽车,4.4400000000,4.3700000000,5408139.0000000000,1218251.0000000000,0.0160200000,0.0540813900,AKShare stock_zh_a_spot / 新浪
920033,康普化学,14.3600000000,14.0300000000,6253030.0000000000,438623.0000000000,0.0235200000,0.0625303000,AKShare stock_zh_a_spot / 新浪
920035,精创电气,23.3900000000,23.4500000000,11606752.0000000000,495880.0000000000,-0.0025600000,0.1160675200,AKShare stock_zh_a_spot / 新浪
920036,觅睿科技,28.5500000000,28.7100000000,10495014.0000000000,367127.0000000000,-0.0055700000,0.1049501400,AKShare stock_zh_a_spot / 新浪
920037,广信科技,40.0000000000,39.7500000000,20064715.0000000000,499171.0000000000,0.0062900000,0.2006471500,AKShare stock_zh_a_spot / 新浪
920038,森合高科,36.2400000000,35.2000000000,148978389.0000000000,4036954.0000000000,0.0295500000,1.4897838900,AKShare stock_zh_a_spot / 新浪
920039,国义招标,8.5900000000,8.8800000000,13298109.0000000000,1527882.0000000000,-0.0326600000,0.1329810900,AKShare stock_zh_a_spot / 新浪
920045,蘅东光,382.0500000000,344.0000000000,673708760.0000000000,1815281.0000000000,0.1106100000,6.7370876000,AKShare stock_zh_a_spot / 新浪
920046,亿能电力,20.0500000000,20.0200000000,51845862.0000000000,2581976.0000000000,0.0015000000,0.5184586200,AKShare stock_zh_a_spot / 新浪
920047,诺思兰德,17.5100000000,16.9400000000,133997492.0000000000,7458752.0000000000,0.0336500000,1.3399749200,AKShare stock_zh_a_spot / 新浪
920050,爱伦医疗,29.4000000000,28.9300000000,9298916.0000000000,313899.0000000000,0.0162500000,0.0929891600,AKShare stock_zh_a_spot / 新浪
920055,隆源股份,26.4600000000,26.3700000000,6412201.0000000000,241131.0000000000,0.0034100000,0.0641220100,AKShare stock_zh_a_spot / 新浪
920056,能之光,16.0800000000,16.1000000000,5240579.0000000000,324524.0000000000,-0.0012400000,0.0524057900,AKShare stock_zh_a_spot / 新浪
920057,百甲科技,4.8800000000,4.8700000000,3275307.0000000000,665366.0000000000,0.0020500000,0.0327530700,AKShare stock_zh_a_spot / 新浪
920058,华洋赛车,29.7000000000,28.8000000000,35170589.0000000000,1201650.0000000000,0.0312500000,0.3517058900,AKShare stock_zh_a_spot / 新浪
920059,双英集团,17.3300000000,24.7500000000,330126533.0000000000,18299192.0000000000,-0.2998000000,3.3012653300,AKShare stock_zh_a_spot / 新浪
920060,万源通,21.3900000000,21.4600000000,25691818.0000000000,1192336.0000000000,-0.0032600000,0.2569181800,AKShare stock_zh_a_spot / 新浪
920061,西磁科技,17.3200000000,17.2300000000,9831087.0000000000,563873.0000000000,0.0052200000,0.0983108700,AKShare stock_zh_a_spot / 新浪
920062,科润智控,7.3400000000,7.3200000000,8991016.0000000000,1225380.0000000000,0.0027300000,0.0899101600,AKShare stock_zh_a_spot / 新浪
920065,千岸科技,34.0600000000,33.4500000000,51320829.0000000000,1529080.0000000000,0.0182400000,0.5132082900,AKShare stock_zh_a_spot / 新浪
920066,科拜尔,17.4500000000,16.5600000000,18575425.0000000000,1062505.0000000000,0.0537400000,0.1857542500,AKShare stock_zh_a_spot / 新浪
920068,天工股份,15.5800000000,15.0600000000,33523310.0000000000,2168095.0000000000,0.0345300000,0.3352331000,AKShare stock_zh_a_spot / 新浪
920069,普昂医疗,33.6400000000,32.9500000000,16074782.0000000000,477734.0000000000,0.0209400000,0.1607478200,AKShare stock_zh_a_spot / 新浪
920072,科莱瑞迪,26.1300000000,25.4000000000,48696146.0000000000,1835734.0000000000,0.0287400000,0.4869614600,AKShare stock_zh_a_spot / 新浪
920075,柏星龙,15.2200000000,15.1300000000,6179966.0000000000,406332.0000000000,0.0059500000,0.0617996600,AKShare stock_zh_a_spot / 新浪
920076,国亮新材,12.7800000000,12.6700000000,4361357.0000000000,342794.0000000000,0.0086800000,0.0436135700,AKShare stock_zh_a_spot / 新浪
920077,吉林碳谷,14.0600000000,14.0100000000,36491296.0000000000,2592985.0000000000,0.0035700000,0.3649129600,AKShare stock_zh_a_spot / 新浪
920078,族兴新材,18.0100000000,18.0000000000,20093903.0000000000,1116971.0000000000,0.0005600000,0.2009390300,AKShare stock_zh_a_spot / 新浪
920079,乔路铭,13.7500000000,13.9100000000,47838578.0000000000,3466180.0000000000,-0.0115000000,0.4783857800,AKShare stock_zh_a_spot / 新浪
920080,奥美森,22.1600000000,21.4200000000,8645006.0000000000,391323.0000000000,0.0345500000,0.0864500600,AKShare stock_zh_a_spot / 新浪
920081,欧伦电气,40.9100000000,40.9000000000,52910451.0000000000,1299048.0000000000,0.0002400000,0.5291045100,AKShare stock_zh_a_spot / 新浪
920082,方正阀门,8.0800000000,8.0800000000,4181917.0000000000,513904.0000000000,0.0000000000,0.0418191700,AKShare stock_zh_a_spot / 新浪
920083,金戈新材,44.2000000000,42.0200000000,339660572.0000000000,7883521.0000000000,0.0518800000,3.3966057200,AKShare stock_zh_a_spot / 新浪
920086,科马材料,20.2500000000,20.5000000000,11597797.0000000000,568223.0000000000,-0.0122000000,0.1159779700,AKShare stock_zh_a_spot / 新浪
920087,秋乐种业,16.8300000000,16.2000000000,485161781.0000000000,31104219.0000000000,0.0388900000,4.8516178100,AKShare stock_zh_a_spot / 新浪
920088,科力股份,45.8000000000,47.0700000000,248458536.0000000000,5495562.0000000000,-0.0269800000,2.4845853600,AKShare stock_zh_a_spot / 新浪
920089,禾昌聚合,10.0000000000,10.0000000000,4779813.0000000000,478012.0000000000,0.0000000000,0.0477981300,AKShare stock_zh_a_spot / 新浪
920091,大鹏工业,28.9000000000,29.3700000000,17923006.0000000000,616286.0000000000,-0.0160000000,0.1792300600,AKShare stock_zh_a_spot / 新浪
920092,汉鑫科技,27.4300000000,28.1000000000,58000714.0000000000,2092429.0000000000,-0.0238400000,0.5800071400,AKShare stock_zh_a_spot / 新浪
920096,嘉晨智能,34.1400000000,35.3400000000,43984923.0000000000,1275269.0000000000,-0.0339600000,0.4398492300,AKShare stock_zh_a_spot / 新浪
920098,科隆新材,16.9300000000,17.0700000000,9389090.0000000000,549726.0000000000,-0.0082000000,0.0938909000,AKShare stock_zh_a_spot / 新浪
920099,瑞华技术,17.6300000000,17.8200000000,7382886.0000000000,416615.0000000000,-0.0106600000,0.0738288600,AKShare stock_zh_a_spot / 新浪
920100,三协电机,32.1600000000,32.3800000000,44616692.0000000000,1384308.0000000000,-0.0067900000,0.4461669200,AKShare stock_zh_a_spot / 新浪
920101,志高机械,16.5500000000,16.5400000000,4428026.0000000000,266010.0000000000,0.0006000000,0.0442802600,AKShare stock_zh_a_spot / 新浪
920106,林泰新材,35.6600000000,36.0700000000,15490380.0000000000,430730.0000000000,-0.0113700000,0.1549038000,AKShare stock_zh_a_spot / 新浪
920107,恒兴股份,21.6100000000,22.1400000000,81310300.0000000000,3734054.0000000000,-0.0239400000,0.8131030000,AKShare stock_zh_a_spot / 新浪
920108,宏海科技,9.1200000000,9.1200000000,3231719.0000000000,354785.0000000000,0.0000000000,0.0323171900,AKShare stock_zh_a_spot / 新浪
920110,雷特科技,26.3800000000,25.7800000000,2720991.0000000000,103865.0000000000,0.0232700000,0.0272099100,AKShare stock_zh_a_spot / 新浪
920111,聚星科技,31.9000000000,31.1700000000,110856454.0000000000,3482850.0000000000,0.0234200000,1.1085645400,AKShare stock_zh_a_spot / 新浪
920112,巴兰仕,15.7000000000,15.6700000000,2302444.0000000000,145969.0000000000,0.0019100000,0.0230244400,AKShare stock_zh_a_spot / 新浪
920116,星图测控,45.4300000000,47.6900000000,171768728.0000000000,3727648.0000000000,-0.0473900000,1.7176872800,AKShare stock_zh_a_spot / 新浪
920117,龙鑫智能,29.3900000000,31.3700000000,140218682.0000000000,4652775.0000000000,-0.0631200000,1.4021868200,AKShare stock_zh_a_spot / 新浪
920118,太湖远大,20.8000000000,19.9900000000,11894142.0000000000,581950.0000000000,0.0405200000,0.1189414200,AKShare stock_zh_a_spot / 新浪
920119,美德乐,49.0900000000,48.0000000000,9165303.0000000000,188245.0000000000,0.0227100000,0.0916530300,AKShare stock_zh_a_spot / 新浪
920121,江天科技,28.0400000000,28.0500000000,3378962.0000000000,120095.0000000000,-0.0003600000,0.0337896200,AKShare stock_zh_a_spot / 新浪
920122,中纺标,23.0200000000,23.8300000000,43073349.0000000000,1823291.0000000000,-0.0339900000,0.4307334900,AKShare stock_zh_a_spot / 新浪
920123,芭薇股份,10.6000000000,10.3200000000,10900568.0000000000,1025500.0000000000,0.0271300000,0.1090056800,AKShare stock_zh_a_spot / 新浪
920124,南特科技,12.6300000000,12.6200000000,8041759.0000000000,633244.0000000000,0.0007900000,0.0804175900,AKShare stock_zh_a_spot / 新浪
920125,鸿仕达,120.4900000000,118.7400000000,231477841.0000000000,1914387.0000000000,0.0147400000,2.3147784100,AKShare stock_zh_a_spot / 新浪
920126,永大股份,10.0900000000,10.2200000000,17816884.0000000000,1748544.0000000000,-0.0127200000,0.1781688400,AKShare stock_zh_a_spot / 新浪
920128,胜业电气,17.6800000000,17.6800000000,11685024.0000000000,660161.0000000000,0.0000000000,0.1168502400,AKShare stock_zh_a_spot / 新浪
920130,立方控股,17.0700000000,18.0400000000,53178760.0000000000,3065959.0000000000,-0.0537700000,0.5317876000,AKShare stock_zh_a_spot / 新浪
920132,泰鹏智能,8.6000000000,8.5900000000,2886062.0000000000,334815.0000000000,0.0011600000,0.0288606200,AKShare stock_zh_a_spot / 新浪
920136,永励精密,20.2500000000,20.2500000000,22841789.0000000000,1127187.0000000000,0.0000000000,0.2284178900,AKShare stock_zh_a_spot / 新浪
920138,杰理科技,39.0700000000,40.0300000000,158754897.0000000000,4048462.0000000000,-0.0239800000,1.5875489700,AKShare stock_zh_a_spot / 新浪
920139,华岭股份,14.6600000000,14.8400000000,38980852.0000000000,2625336.0000000000,-0.0121300000,0.3898085200,AKShare stock_zh_a_spot / 新浪
920145,恒合股份,9.8900000000,9.9100000000,3689349.0000000000,369215.0000000000,-0.0020200000,0.0368934900,AKShare stock_zh_a_spot / 新浪
920146,华阳变速,5.0100000000,5.0000000000,4651012.0000000000,924287.0000000000,0.0020000000,0.0465101200,AKShare stock_zh_a_spot / 新浪
920149,旭杰科技,7.7800000000,7.7300000000,2617017.0000000000,335826.0000000000,0.0064700000,0.0261701700,AKShare stock_zh_a_spot / 新浪
920152,昆工科技,12.8200000000,13.1800000000,9671853.0000000000,744967.0000000000,-0.0273100000,0.0967185300,AKShare stock_zh_a_spot / 新浪
920156,海昌智能,37.8200000000,39.1400000000,46590005.0000000000,1217928.0000000000,-0.0337300000,0.4659000500,AKShare stock_zh_a_spot / 新浪
920158,长江能科,8.0700000000,7.9500000000,7636700.0000000000,952078.0000000000,0.0150900000,0.0763670000,AKShare stock_zh_a_spot / 新浪
920159,农大科技,30.2600000000,30.5800000000,46125422.0000000000,1537202.0000000000,-0.0104600000,0.4612542200,AKShare stock_zh_a_spot / 新浪
920160,北矿检测,20.0700000000,19.9000000000,7386888.0000000000,365948.0000000000,0.0085400000,0.0738688800,AKShare stock_zh_a_spot / 新浪
920161,龙辰科技,27.0300000000,28.0500000000,162153840.0000000000,5950014.0000000000,-0.0363600000,1.6215384000,AKShare stock_zh_a_spot / 新浪
920163,方大新材,11.2000000000,11.1800000000,6300294.0000000000,567613.0000000000,0.0017900000,0.0630029400,AKShare stock_zh_a_spot / 新浪
920165,珈凯生物,36.5500000000,36.4800000000,42713326.0000000000,1148451.0000000000,0.0019200000,0.4271332600,AKShare stock_zh_a_spot / 新浪
920166,海圣医疗,21.9000000000,21.0100000000,15875116.0000000000,725880.0000000000,0.0423600000,0.1587511600,AKShare stock_zh_a_spot / 新浪
920167,同享科技,14.7900000000,14.6400000000,10637271.0000000000,722825.0000000000,0.0102500000,0.1063727100,AKShare stock_zh_a_spot / 新浪
920168,通宝光电,15.3900000000,15.3100000000,3674245.0000000000,239287.0000000000,0.0052300000,0.0367424500,AKShare stock_zh_a_spot / 新浪
920169,七丰精工,20.3800000000,22.1700000000,144734109.0000000000,6915990.0000000000,-0.0807400000,1.4473410900,AKShare stock_zh_a_spot / 新浪
920171,志晟信息,16.1300000000,16.2600000000,11337892.0000000000,694242.0000000000,-0.0080000000,0.1133789200,AKShare stock_zh_a_spot / 新浪
920174,五新智能,28.9800000000,28.8100000000,29217450.0000000000,1000745.0000000000,0.0059000000,0.2921745000,AKShare stock_zh_a_spot / 新浪
920175,东方碳素,7.8000000000,7.7700000000,6188139.0000000000,795932.0000000000,0.0038600000,0.0618813900,AKShare stock_zh_a_spot / 新浪
920176,维琪科技,55.8800000000,55.3500000000,67219765.0000000000,1212573.0000000000,0.0095800000,0.6721976500,AKShare stock_zh_a_spot / 新浪
920177,恒道科技,24.9900000000,25.3900000000,10759282.0000000000,426404.0000000000,-0.0157500000,0.1075928200,AKShare stock_zh_a_spot / 新浪
920178,锐翔智能,92.2200000000,92.9800000000,85045074.0000000000,915908.0000000000,-0.0081700000,0.8504507400,AKShare stock_zh_a_spot / 新浪
920179,凯德石英,51.6900000000,53.6400000000,220429912.0000000000,4317092.0000000000,-0.0363500000,2.2042991200,AKShare stock_zh_a_spot / 新浪
920180,爱得科技,12.3800000000,11.9700000000,8599279.0000000000,697168.0000000000,0.0342500000,0.0859927900,AKShare stock_zh_a_spot / 新浪
920181,赛英电子,73.0900000000,75.3000000000,49913374.0000000000,681083.0000000000,-0.0293500000,0.4991337400,AKShare stock_zh_a_spot / 新浪
920183,海菲曼,28.2500000000,28.2500000000,3121765.0000000000,109957.0000000000,0.0000000000,0.0312176500,AKShare stock_zh_a_spot / 新浪
920184,国源科技,11.0500000000,10.9700000000,6599054.0000000000,596014.0000000000,0.0072900000,0.0659905400,AKShare stock_zh_a_spot / 新浪
920185,贝特瑞,20.1700000000,20.2200000000,61511701.0000000000,3029653.0000000000,-0.0024700000,0.6151170100,AKShare stock_zh_a_spot / 新浪
920186,中科仪,70.8100000000,70.5400000000,259740161.0000000000,3671084.0000000000,0.0038300000,2.5974016100,AKShare stock_zh_a_spot / 新浪
920187,通领科技,18.9000000000,18.7700000000,4640044.0000000000,245960.0000000000,0.0069300000,0.0464004400,AKShare stock_zh_a_spot / 新浪
920188,悦龙科技,21.4100000000,21.4800000000,5978002.0000000000,277925.0000000000,-0.0032600000,0.0597800200,AKShare stock_zh_a_spot / 新浪
920189,康美特,19.8300000000,20.3700000000,109655938.0000000000,5521070.0000000000,-0.0265100000,1.0965593800,AKShare stock_zh_a_spot / 新浪
920190,雷神科技,24.9000000000,24.1400000000,113803724.0000000000,4608644.0000000000,0.0314800000,1.1380372400,AKShare stock_zh_a_spot / 新浪
920191,瑞尔竞达,8.7700000000,8.7800000000,7577840.0000000000,860723.0000000000,-0.0011400000,0.0757784000,AKShare stock_zh_a_spot / 新浪
920193,吉和昌,32.8300000000,33.7800000000,139318366.0000000000,4242001.0000000000,-0.0281200000,1.3931836600,AKShare stock_zh_a_spot / 新浪
920195,三祥科技,12.2100000000,12.0200000000,5338142.0000000000,438748.0000000000,0.0158100000,0.0533814200,AKShare stock_zh_a_spot / 新浪
920198,微创光电,7.4400000000,7.3600000000,8899197.0000000000,1199162.0000000000,0.0108700000,0.0889919700,AKShare stock_zh_a_spot / 新浪
920199,倍益康,26.0000000000,25.8200000000,32818381.0000000000,1243084.0000000000,0.0069700000,0.3281838100,AKShare stock_zh_a_spot / 新浪
920200,振宏股份,27.4900000000,27.6700000000,33785044.0000000000,1230557.0000000000,-0.0065100000,0.3378504400,AKShare stock_zh_a_spot / 新浪
920204,沪江材料,12.8700000000,12.8000000000,4694497.0000000000,366468.0000000000,0.0054700000,0.0469449700,AKShare stock_zh_a_spot / 新浪
920206,彩客科技,43.5600000000,39.5800000000,192021135.0000000000,4621038.0000000000,0.1005600000,1.9202113500,AKShare stock_zh_a_spot / 新浪
920207,众诚科技,21.3600000000,21.5900000000,34003922.0000000000,1576534.0000000000,-0.0106500000,0.3400392200,AKShare stock_zh_a_spot / 新浪
920208,青矩技术,12.2800000000,12.1600000000,8521087.0000000000,696733.0000000000,0.0098700000,0.0852108700,AKShare stock_zh_a_spot / 新浪
920211,新睿电子,111.5000000000,113.0800000000,75571334.0000000000,685789.0000000000,-0.0139700000,0.7557133400,AKShare stock_zh_a_spot / 新浪
920212,智新电子,9.7500000000,9.5200000000,7959715.0000000000,822662.0000000000,0.0241600000,0.0795971500,AKShare stock_zh_a_spot / 新浪
920218,新天力,16.7800000000,17.1800000000,23290290.0000000000,1370618.0000000000,-0.0232800000,0.2329029000,AKShare stock_zh_a_spot / 新浪
920220,朗信电气,40.0800000000,40.7500000000,30953986.0000000000,767801.0000000000,-0.0164400000,0.3095398600,AKShare stock_zh_a_spot / 新浪
920221,易实精密,12.7400000000,12.8000000000,10219934.0000000000,798949.0000000000,-0.0046900000,0.1021993400,AKShare stock_zh_a_spot / 新浪
920222,益坤电气,25.8000000000,25.3000000000,42624352.0000000000,1683454.0000000000,0.0197600000,0.4262435200,AKShare stock_zh_a_spot / 新浪
920223,荣亿精密,10.7400000000,10.6500000000,11919019.0000000000,1105583.0000000000,0.0084500000,0.1191901900,AKShare stock_zh_a_spot / 新浪
920225,利通科技,15.0300000000,14.9400000000,25856107.0000000000,1719967.0000000000,0.0060200000,0.2585610700,AKShare stock_zh_a_spot / 新浪
920227,美登科技,48.2500000000,47.8600000000,8385531.0000000000,174076.0000000000,0.0081500000,0.0838553100,AKShare stock_zh_a_spot / 新浪
920230,欧康医药,11.2200000000,10.6500000000,53749545.0000000000,4718545.0000000000,0.0535200000,0.5374954500,AKShare stock_zh_a_spot / 新浪
920237,力佳科技,12.0800000000,11.9800000000,5080214.0000000000,419608.0000000000,0.0083500000,0.0508021400,AKShare stock_zh_a_spot / 新浪
