rank,stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,sw_level1,sw_level2,sw_level2_code
1,300308,中际旭创,904.2000000000,895.6000000000,20338306136.0000000000,22706170.0000000000,0.0096000000,203.3830613600,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
2,688825,长鑫科技,57.5700000000,57.5500000000,16965735081.0000000000,296418334.0000000000,0.0003500000,169.6573508100,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
3,688256,寒武纪,1010.8800000000,1050.4900000000,15191095235.0000000000,14855370.0000000000,-0.0377100000,151.9109523500,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
4,603986,兆易创新,403.5000000000,403.7100000000,14629180703.0000000000,36176408.0000000000,-0.0005200000,146.2918070300,AKShare stock_zh_a_spot / 新浪,电子,半导体,801081
5,603259,药明康德,167.9000000000,164.0000000000,14589305368.0000000000,85911366.0000000000,0.0237800000,145.8930536800,AKShare stock_zh_a_spot / 新浪,医药生物,医疗服务,801156
6,300394,天孚通信,276.2500000000,277.4000000000,14195536272.0000000000,51737392.0000000000,-0.0041500000,141.9553627200,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
7,601899,紫金矿业,34.2500000000,32.7600000000,14178910927.0000000000,411578689.0000000000,0.0454800000,141.7891092700,AKShare stock_zh_a_spot / 新浪,有色金属,工业金属,801055
8,600276,恒瑞医药,49.5000000000,52.6600000000,11929918450.0000000000,238741624.0000000000,-0.0600100000,119.2991845000,AKShare stock_zh_a_spot / 新浪,医药生物,化学制药,801151
9,600487,亨通光电,62.0200000000,58.9100000000,11843644349.0000000000,195134067.0000000000,0.0527900000,118.4364434900,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
10,300502,新易盛,414.0200000000,411.5000000000,11742942472.0000000000,28417522.0000000000,0.0061200000,117.4294247200,AKShare stock_zh_a_spot / 新浪,通信,通信设备,801102
11,002384,东山精密,197.6700000000,197.1000000000,10335940236.0000000000,52176271.0000000000,0.0028900000,103.3594023600,AKShare stock_zh_a_spot / 新浪,电子,元件,801083
12,000636,风华高科,53.0900000000,56.1100000000,10168881694.0000000000,186619472.0000000000,-0.0538200000,101.6888169400,AKShare stock_zh_a_spot / 新浪,电子,元件,801083
