指数代码,指数名称,发布日期,收盘指数,成交量,涨跌幅,换手率,市盈率,市净率,均价,成交额占比,流通市值,平均流通市值,股息率
801083,元件,2026-01-05,14170.64,14.52,3.64,7.07,59.37,6.58,47.56,2.77,9692.06,170.04,0.58
801785,农商行Ⅱ,2026-01-05,807.47,3.4,0.01,1.27,6.07,0.58,5.44,0.08,1542.02,154.2,4.85
801993,旅游及景区,2026-01-05,2476.57,4.72,-0.95,5.66,54.52,3.1,14.98,0.19,769.93,33.48,1.0
801992,航运港口,2026-01-05,3004.71,14.42,-0.85,3.4,11.48,1.2,7.78,0.44,2516.39,74.01,4.4
801991,航空机场,2026-01-05,3365.49,11.92,-0.31,3.04,66.49,3.04,16.46,0.28,2418.85,201.57,0.62
801983,医疗美容,2026-01-05,1418.12,0.2,2.14,2.06,43.56,4.71,64.4,0.04,289.13,96.38,2.29
801982,化妆品,2026-01-05,7163.79,1.94,1.15,7.18,37.85,3.18,25.55,0.14,518.37,37.03,1.21
801981,个护用品,2026-01-05,1617.08,0.6,1.55,3.11,35.55,2.55,24.54,0.05,321.98,26.83,1.34
801972,环保设备Ⅱ,2026-01-05,2006.64,3.03,1.08,4.69,43.75,2.19,16.47,0.17,755.06,27.97,1.07
801971,环境治理,2026-01-05,1969.09,16.66,1.67,4.11,27.21,1.6,14.9,0.73,3184.25,30.04,1.28
801963,炼化及贸易,2026-01-05,2965.94,13.49,-1.44,3.13,24.22,1.32,11.48,0.55,3562.27,118.74,2.93
801962,油服工程,2026-01-05,2261.37,7.63,1.41,6.92,22.27,1.54,9.27,0.19,601.11,46.24,1.74
801961,油气开采Ⅱ,2026-01-05,2396.28,9.29,-2.45,8.73,13.04,1.5,10.68,0.24,882.4,220.6,2.8
801952,焦炭Ⅱ,2026-01-05,1411.71,2.82,-0.17,3.82,,1.42,3.93,0.05,303.12,43.3,0.49
801736,风电设备,2026-01-05,2661.85,11.66,3.1,8.21,43.79,2.04,36.2,1.12,2260.95,77.96,0.63
801153,医疗器械,2026-01-05,6658.06,12.61,5.64,5.09,40.68,2.82,36.94,1.37,6620.04,52.13,1.12
801155,中药Ⅱ,2026-01-05,6350.74,11.58,1.87,3.01,27.12,2.28,17.94,0.54,4323.96,64.54,2.31
801784,城商行Ⅱ,2026-01-05,1011.43,8.4,0.27,1.23,5.64,0.52,9.27,0.32,6147.68,361.63,4.49
801783,股份制银行Ⅱ,2026-01-05,4622.53,10.42,-0.31,1.08,6.14,0.5,12.39,0.46,10905.68,1211.74,4.86
801782,国有大型银行Ⅱ,2026-01-05,1994.02,14.82,-0.93,1.4,7.71,0.64,7.17,0.46,7593.79,1265.63,5.34
801769,出版,2026-01-05,1609.71,4.65,1.56,4.73,22.1,1.69,12.64,0.25,917.63,31.64,2.17
801767,数字媒体,2026-01-05,1924.75,3.83,2.8,11.32,102.04,3.29,22.7,0.38,662.5,47.32,0.49
801766,影视院线,2026-01-05,1351.2,9.96,0.67,7.51,90.18,3.3,11.71,0.37,1159.81,61.04,0.27
801765,广告营销,2026-01-05,3019.65,32.92,5.37,13.1,50.78,4.88,13.49,1.71,2315.8,85.77,1.66
801764,游戏Ⅱ,2026-01-05,3719.05,18.68,5.62,7.2,40.56,4.23,33.9,1.1,4259.73,163.84,0.77
801745,军工电子Ⅱ,2026-01-05,7352.46,28.09,2.82,14.58,137.75,5.1,44.15,3.7,5821.33,92.4,0.28
801744,航海装备Ⅱ,2026-01-05,3077.76,6.75,3.88,7.86,40.94,2.1,22.81,0.5,2284.94,253.88,0.24
801743,地面兵装Ⅱ,2026-01-05,20533.81,5.27,3.28,11.52,144.61,4.0,35.3,0.49,855.28,71.27,0.19
801742,航空装备Ⅱ,2026-01-05,10904.84,14.31,1.28,8.04,88.8,4.11,37.44,1.89,5673.92,123.35,0.42
801881,摩托车及其他,2026-01-05,3710.91,1.13,0.13,1.79,34.3,3.78,53.73,0.11,1134.9,75.66,1.21
801994,教育,2026-01-05,2431.12,7.84,2.16,7.78,104.48,4.72,13.57,0.25,628.48,39.28,0.39
801737,电池,2026-01-05,24497.4,26.11,2.91,6.13,38.22,3.87,42.21,4.12,19733.14,207.72,0.78
801951,煤炭开采,2026-01-05,3100.45,10.12,0.59,2.1,16.55,1.28,9.77,0.32,4052.31,135.08,3.47
801218,专业服务,2026-01-05,6079.81,3.78,3.02,5.81,28.49,2.62,23.78,0.25,933.78,31.13,1.22
801712,玻璃玻纤,2026-01-05,11690.11,8.67,2.62,8.23,35.22,2.21,12.54,0.52,1178.85,78.59,1.06
801216,体育Ⅱ,2026-01-05,1825.69,0.24,0.86,2.94,593.71,3.48,12.02,0.01,79.5,39.75,0.17
801207,旅游零售Ⅱ,2026-01-05,10585.02,0.78,-4.52,8.6,54.58,3.33,90.29,0.31,823.29,823.29,1.44
801731,电机Ⅱ,2026-01-05,16765.53,6.45,-0.73,9.07,68.95,4.42,32.76,0.69,1528.01,61.12,0.5
801191,多元金融,2026-01-05,1324.97,12.57,0.03,4.85,30.28,1.43,10.81,0.53,1790.97,66.33,1.37
801724,专业工程,2026-01-05,1886.66,10.79,1.23,4.43,19.55,1.16,18.44,0.44,1696.21,43.49,1.62
801206,互联网电商,2026-01-05,11791.6,3.41,1.94,3.76,41.64,2.89,19.84,0.19,704.6,39.14,0.54
801726,工程咨询服务Ⅱ,2026-01-05,2190.28,4.6,1.2,6.22,36.78,1.93,19.79,0.31,972.93,23.73,0.87
801723,基础建设,2026-01-05,2314.72,13.65,0.84,2.32,9.98,0.63,9.3,0.46,3097.51,70.4,2.53
801219,酒店餐饮,2026-01-05,1892.19,1.47,-1.67,4.93,43.99,1.92,13.29,0.07,324.02,36.0,1.19
801711,水泥,2026-01-05,5027.66,6.13,0.75,4.56,20.17,0.82,9.62,0.24,1275.06,60.72,2.7
801231,综合Ⅱ,2026-01-05,4008.3,4.84,2.25,4.92,56.64,2.51,9.23,0.2,803.2,53.55,0.25
801223,通信服务,2026-01-05,2312.1,12.99,1.87,3.37,26.59,1.91,21.81,0.95,3987.44,102.24,2.17
801721,房屋建设Ⅱ,2026-01-05,3244.53,4.81,1.09,2.66,7.09,0.51,9.6,0.1,843.86,105.48,3.27
801722,装修装饰Ⅱ,2026-01-05,4634.57,4.45,-0.61,4.4,83.12,2.5,10.76,0.18,587.01,25.52,0.72
801204,专业连锁Ⅱ,2026-01-05,4785.07,1.63,1.15,5.78,76.67,3.53,15.51,0.1,345.55,49.36,1.08
801203,一般零售,2026-01-05,3673.63,25.4,0.13,6.21,58.82,1.74,10.35,0.88,2588.51,44.63,1.06
801202,贸易Ⅱ,2026-01-05,4874.55,2.77,2.11,4.6,29.92,1.6,8.73,0.09,465.01,35.77,1.44
801194,保险Ⅱ,2026-01-05,1598.86,3.81,6.17,2.29,8.8,1.43,50.2,0.76,9447.26,1889.45,3.25
801193,证券Ⅱ,2026-01-05,7063.64,32.95,1.88,2.48,18.12,1.41,12.25,1.95,17423.52,348.47,1.17
801735,光伏设备,2026-01-05,6846.65,19.29,1.17,4.76,46.05,3.12,34.47,1.95,9160.17,143.13,0.75
801183,房地产服务,2026-01-05,945.03,4.46,1.6,7.0,40.39,1.64,9.3,0.08,259.32,23.57,0.79
801181,房地产开发,2026-01-05,2566.66,48.07,1.3,4.86,61.63,0.8,6.38,1.27,4886.42,54.9,0.7
801179,铁路公路,2026-01-05,1613.92,8.06,-0.53,2.06,16.85,0.95,8.86,0.24,2194.15,66.49,3.0
801178,物流,2026-01-05,4642.77,9.52,0.39,3.91,18.07,1.24,12.29,0.37,2743.64,58.38,2.38
801163,燃气Ⅱ,2026-01-05,3291.45,5.34,1.37,4.89,24.22,2.04,12.91,0.27,1057.6,36.47,2.12
801161,电力,2026-01-05,3186.74,31.58,0.63,2.56,19.05,1.56,8.11,0.97,9618.55,94.3,2.16
801156,医疗服务,2026-01-05,6580.6,10.82,4.89,4.64,32.73,3.31,32.29,1.0,5235.9,102.66,0.89
801741,航天装备Ⅱ,2026-01-05,36823.75,13.2,4.55,33.32,591.52,6.62,54.45,2.3,1522.68,190.34,0.1
801738,电网设备,2026-01-05,5570.7,35.93,1.58,7.19,32.3,2.96,20.2,2.13,8369.09,68.04,1.15
801154,医药商业,2026-01-05,5378.73,8.63,1.87,7.22,21.01,1.43,16.08,0.45,1335.87,41.75,1.86
801733,其他电源设备Ⅱ,2026-01-05,38277.18,7.82,1.65,5.31,65.39,3.26,47.26,0.73,2615.0,90.17,0.44
801085,消费电子,2026-01-05,10325.37,27.78,2.79,7.25,40.41,4.81,41.13,4.31,12781.05,142.01,0.6
801713,装修建材,2026-01-05,5256.02,5.85,1.97,4.56,40.55,2.06,15.63,0.25,1439.61,41.13,3.83
801143,造纸,2026-01-05,2432.88,6.65,-0.8,4.36,31.32,1.33,10.35,0.19,883.06,40.14,1.48
801142,家居用品,2026-01-05,1962.06,6.0,1.71,5.09,27.88,2.24,22.6,0.41,1719.02,23.55,2.04
801141,包装印刷,2026-01-05,3131.26,17.2,0.48,10.94,39.11,2.62,13.56,0.81,1368.57,33.38,1.3
801133,饰品,2026-01-05,1587.36,1.96,0.58,3.24,30.22,2.22,13.52,0.08,491.42,32.76,2.36
801132,服装家纺,2026-01-05,1580.46,10.12,0.24,5.5,29.29,1.85,13.73,0.43,1368.12,23.19,2.09
801131,纺织制造,2026-01-05,1978.74,5.8,0.71,6.1,24.75,1.84,14.7,0.29,823.13,26.55,2.2
