stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,snapshot_date
300308,中际旭创,846.0000000000,870.2200000000,25019267513.2500000000,293560.0000000000,-0.0278000000,250.1926751325,东方财富沪深京A股延迟行情直连,2026-08-25
600487,亨通光电,64.6000000000,60.4300000000,16273223193.0000000000,2601434.0000000000,0.0690000000,162.7322319300,东方财富沪深京A股延迟行情直连,2026-08-25
603986,兆易创新,395.5100000000,381.6600000000,15343138130.0000000000,396495.0000000000,0.0363000000,153.4313813000,东方财富沪深京A股延迟行情直连,2026-08-25
300502,新易盛,400.8700000000,412.0000000000,14132371802.2800006866,350271.0000000000,-0.0270000000,141.3237180228,东方财富沪深京A股延迟行情直连,2026-08-25
688825,长鑫科技,56.5000000000,56.6000000000,13316746353.0000000000,2368430.0000000000,-0.0018000000,133.1674635300,东方财富沪深京A股延迟行情直连,2026-08-25
688256,寒武纪,1010.4800000000,969.0500000000,12588517790.0000000000,125720.0000000000,0.0428000000,125.8851779000,东方财富沪深京A股延迟行情直连,2026-08-25
300394,天孚通信,257.1000000000,249.5000000000,11415328784.9500007629,451097.0000000000,0.0305000000,114.1532878495,东方财富沪深京A股延迟行情直连,2026-08-25
002384,东山精密,190.8400000000,193.6000000000,10599337091.6000003815,553985.0000000000,-0.0143000000,105.9933709160,东方财富沪深京A股延迟行情直连,2026-08-25
300750,宁德时代,376.7300000000,387.8900000000,9924585378.2099990845,260646.0000000000,-0.0288000000,99.2458537821,东方财富沪深京A股延迟行情直连,2026-08-25
603259,药明康德,161.0000000000,155.8400000000,9356630203.0000000000,590510.0000000000,0.0331000000,93.5663020300,东方财富沪深京A股延迟行情直连,2026-08-25
601899,紫金矿业,33.6800000000,34.5400000000,8504382603.0000000000,2515654.0000000000,-0.0249000000,85.0438260300,东方财富沪深京A股延迟行情直连,2026-08-25
600522,中天科技,33.8900000000,32.5300000000,8385396634.0000000000,2519593.0000000000,0.0418000000,83.8539663400,东方财富沪深京A股延迟行情直连,2026-08-25
600183,生益科技,129.0000000000,126.3000000000,8137042198.0000000000,635340.0000000000,0.0214000000,81.3704219800,东方财富沪深京A股延迟行情直连,2026-08-25
601869,长飞光纤,394.5000000000,379.1900000000,8066645578.0000000000,209032.0000000000,0.0404000000,80.6664557800,东方财富沪深京A股延迟行情直连,2026-08-25
