stock_code,stock_name,close,prev_close,amount_yuan,volume,return,amount_100m,snapshot_source,snapshot_date
300308,中际旭创,864.4100000000,870.2200000000,6900747448.8900003433,80709.0000000000,-0.0067000000,69.0074744889,东方财富沪深京A股延迟行情直连,2026-08-25
603986,兆易创新,384.9800000000,381.6600000000,4974803214.0000000000,131928.0000000000,0.0087000000,49.7480321400,东方财富沪深京A股延迟行情直连,2026-08-25
300502,新易盛,409.2700000000,412.0000000000,4939128783.5799999237,122809.0000000000,-0.0066000000,49.3912878358,东方财富沪深京A股延迟行情直连,2026-08-25
688825,长鑫科技,56.3000000000,56.6000000000,4269448045.0000000000,767794.0000000000,-0.0053000000,42.6944804500,东方财富沪深京A股延迟行情直连,2026-08-25
002384,东山精密,193.0700000000,193.6000000000,3917297712.8400001526,205719.0000000000,-0.0027000000,39.1729771284,东方财富沪深京A股延迟行情直连,2026-08-25
688256,寒武纪,1002.0000000000,969.0500000000,3792363797.0000000000,38624.0000000000,0.0340000000,37.9236379700,东方财富沪深京A股延迟行情直连,2026-08-25
603259,药明康德,158.4000000000,155.8400000000,3368664936.0000000000,214735.0000000000,0.0164000000,33.6866493600,东方财富沪深京A股延迟行情直连,2026-08-25
300394,天孚通信,249.0000000000,249.5000000000,3127864906.1900000572,127213.0000000000,-0.0020000000,31.2786490619,东方财富沪深京A股延迟行情直连,2026-08-25
601899,紫金矿业,33.7700000000,34.5400000000,2865920473.0000000000,838559.0000000000,-0.0223000000,28.6592047300,东方财富沪深京A股延迟行情直连,2026-08-25
002716,湖南白银,10.9400000000,11.4600000000,2833505883.1100001335,2500001.0000000000,-0.0454000000,28.3350588311,东方财富沪深京A股延迟行情直连,2026-08-25
600487,亨通光电,58.5500000000,60.4300000000,2743425987.0000000000,474311.0000000000,-0.0311000000,27.4342598700,东方财富沪深京A股延迟行情直连,2026-08-25
601212,白银有色,6.6300000000,6.7000000000,2733321073.0000000000,3977706.0000000000,-0.0104000000,27.3332107300,东方财富沪深京A股延迟行情直连,2026-08-25
600460,士兰微,34.1200000000,35.5600000000,2646539122.0000000000,785593.0000000000,-0.0405000000,26.4653912200,东方财富沪深京A股延迟行情直连,2026-08-25
600183,生益科技,128.2300000000,126.3000000000,2631709716.0000000000,208744.0000000000,0.0153000000,26.3170971600,东方财富沪深京A股延迟行情直连,2026-08-25
600584,长电科技,73.2500000000,73.8000000000,2553235362.0000000000,352920.0000000000,-0.0075000000,25.5323536200,东方财富沪深京A股延迟行情直连,2026-08-25
